Sample,Year,year.xaxis,Treatment,Cover
60,2012,2012-01-01,Control,6.75
61,2012,2012-01-01,Control,12.583333333333334
62,2012,2012-01-01,Control,11.75
1,2013,2013-01-01,Treated,6.333333333333333
2,2013,2013-01-01,Treated,8.416666666666666
3,2013,2013-01-01,Treated,12.666666666666666
4,2013,2013-01-01,Treated,4.25
5,2013,2013-01-01,Treated,1.75
6,2013,2013-01-01,Treated,7
7,2013,2013-01-01,Treated,5.333333333333333
8,2013,2013-01-01,Treated,0.8333333333333334
9,2013,2013-01-01,Treated,3.583333333333333
10,2013,2013-01-01,Treated,2.9166666666666665
11,2013,2013-01-01,Treated,3.25
12,2013,2013-01-01,Treated,12.583333333333334
13,2013,2013-01-01,Treated,13.416666666666666
14,2013,2013-01-01,Treated,12.708333333333334
15,2013,2013-01-01,Treated,6.25
16,2013,2013-01-01,Control,8
17,2013,2013-01-01,Control,23.666666666666668
18,2013,2013-01-01,Control,28.75
19,2013,2013-01-01,Control,20.166666666666668
20,2013,2013-01-01,Control,38.25
21,2013,2013-01-01,Control,14.333333333333334
22,2013,2013-01-01,Control,8.166666666666666
23,2013,2013-01-01,Control,15.833333333333334
24,2013,2013-01-01,Control,16.083333333333332
25,2013,2013-01-01,Control,1.9166666666666667
26,2013,2013-01-01,Control,9.416666666666666
27,2013,2013-01-01,Control,3.833333333333333
28,2013,2013-01-01,Control,16.916666666666668
29,2013,2013-01-01,Control,16.833333333333336
30,2013,2013-01-01,Control,23.333333333333332
31,2013,2013-01-01,Control,13.583333333333334
32,2013,2013-01-01,Control,13.083333333333334
33,2013,2013-01-01,Treated,0.9166666666666669
34,2013,2013-01-01,Treated,0.9166666666666669
35,2013,2013-01-01,Treated,3
37,2013,2013-01-01,Treated,3.5833333333333335
38,2013,2013-01-01,Treated,4.583333333333333
39,2013,2013-01-01,Treated,8.833333333333334
40,2013,2013-01-01,Treated,9.916666666666666
41,2013,2013-01-01,Treated,5.583333333333333
42,2013,2013-01-01,Treated,2.5833333333333335
43,2013,2013-01-01,Treated,8.25
44,2013,2013-01-01,Treated,6.5
45,2013,2013-01-01,Treated,12.083333333333334
46,2013,2013-01-01,Treated,16.25
47,2013,2013-01-01,Treated,16.666666666666668
49,2013,2013-01-01,Control,20.583333333333332
50,2013,2013-01-01,Control,22.5
51,2013,2013-01-01,Control,21.5
52,2013,2013-01-01,Control,28.916666666666668
53,2013,2013-01-01,Control,28.083333333333332
54,2013,2013-01-01,Control,12
55,2013,2013-01-01,Control,19.375
56,2013,2013-01-01,Control,16
57,2013,2013-01-01,Control,24.333333333333332
59,2013,2013-01-01,Control,20.25
60,2013,2013-01-01,Control,6.666666666666667
61,2013,2013-01-01,Control,17.333333333333332
62,2013,2013-01-01,Control,12.75
1,2014,2014-01-01,Treated,22.375
2,2014,2014-01-01,Treated,25
3,2014,2014-01-01,Treated,15.625
4,2014,2014-01-01,Treated,6.375
5,2014,2014-01-01,Treated,12.875
6,2014,2014-01-01,Treated,26.875
7,2014,2014-01-01,Treated,11.25
8,2014,2014-01-01,Treated,3.625
9,2014,2014-01-01,Treated,13
10,2014,2014-01-01,Treated,8.25
11,2014,2014-01-01,Treated,20
12,2014,2014-01-01,Treated,18.25
13,2014,2014-01-01,Treated,10.5
14,2014,2014-01-01,Treated,25.9375
15,2014,2014-01-01,Treated,18.25
17,2014,2014-01-01,Control,22.5
18,2014,2014-01-01,Control,63.875
19,2014,2014-01-01,Control,13.75
20,2014,2014-01-01,Control,68.125
21,2014,2014-01-01,Control,51.125
22,2014,2014-01-01,Control,27.375
23,2014,2014-01-01,Control,32.75
24,2014,2014-01-01,Control,30.125
25,2014,2014-01-01,Control,22
26,2014,2014-01-01,Control,23.625
27,2014,2014-01-01,Control,18.875
28,2014,2014-01-01,Control,29.875
29,2014,2014-01-01,Control,34.25
30,2014,2014-01-01,Control,44
31,2014,2014-01-01,Control,26.625
32,2014,2014-01-01,Control,21
33,2014,2014-01-01,Treated,5.3125
34,2014,2014-01-01,Treated,2.25
35,2014,2014-01-01,Treated,6.375
36,2014,2014-01-01,Treated,4.375
37,2014,2014-01-01,Treated,11.3125
38,2014,2014-01-01,Treated,5.75
39,2014,2014-01-01,Treated,13.125
40,2014,2014-01-01,Treated,22.125
41,2014,2014-01-01,Treated,15
42,2014,2014-01-01,Treated,15
43,2014,2014-01-01,Treated,25.125
44,2014,2014-01-01,Treated,16.75
45,2014,2014-01-01,Treated,18.75
46,2014,2014-01-01,Treated,13.375
47,2014,2014-01-01,Treated,32.25
48,2014,2014-01-01,Treated,24.25
49,2014,2014-01-01,Control,13.375
50,2014,2014-01-01,Control,13.5
51,2014,2014-01-01,Control,17.875
52,2014,2014-01-01,Control,15.5
53,2014,2014-01-01,Control,10.625
54,2014,2014-01-01,Control,6.125
55,2014,2014-01-01,Control,11
56,2014,2014-01-01,Control,4.25
57,2014,2014-01-01,Control,10.875
58,2014,2014-01-01,Control,2.5
59,2014,2014-01-01,Control,16.75
60,2014,2014-01-01,Control,3.375
61,2014,2014-01-01,Control,3.375
62,2014,2014-01-01,Control,9.5
1,2015,2015-01-01,Treated,14.75
2,2015,2015-01-01,Treated,16.875
3,2015,2015-01-01,Treated,10.125
4,2015,2015-01-01,Treated,8.875
5,2015,2015-01-01,Treated,11.25
6,2015,2015-01-01,Treated,14.25
7,2015,2015-01-01,Treated,3.625
8,2015,2015-01-01,Treated,0
9,2015,2015-01-01,Treated,15.625
10,2015,2015-01-01,Treated,5.75
11,2015,2015-01-01,Treated,7.5
12,2015,2015-01-01,Treated,19.375
13,2015,2015-01-01,Treated,9
14,2015,2015-01-01,Treated,23.625
15,2015,2015-01-01,Treated,10
16,2015,2015-01-01,Control,18.875
17,2015,2015-01-01,Control,8.375
18,2015,2015-01-01,Control,27.875
19,2015,2015-01-01,Control,11
20,2015,2015-01-01,Control,13.5
21,2015,2015-01-01,Control,13.875
22,2015,2015-01-01,Control,7.375
23,2015,2015-01-01,Control,7.6875
24,2015,2015-01-01,Control,16.75
25,2015,2015-01-01,Control,12.25
26,2015,2015-01-01,Control,1.875
27,2015,2015-01-01,Control,11.25
28,2015,2015-01-01,Control,13
29,2015,2015-01-01,Control,7.5
30,2015,2015-01-01,Control,11.25
31,2015,2015-01-01,Control,7.25
32,2015,2015-01-01,Control,4.25
33,2015,2015-01-01,Treated,5.125
34,2015,2015-01-01,Treated,3.25
35,2015,2015-01-01,Treated,6.625
36,2015,2015-01-01,Treated,7.75
37,2015,2015-01-01,Treated,10.6875
38,2015,2015-01-01,Treated,8.625
39,2015,2015-01-01,Treated,13
40,2015,2015-01-01,Treated,7.375
41,2015,2015-01-01,Treated,10.125
42,2015,2015-01-01,Treated,9
43,2015,2015-01-01,Treated,4.75
44,2015,2015-01-01,Treated,11.75
45,2015,2015-01-01,Treated,24.125
46,2015,2015-01-01,Treated,28.625
47,2015,2015-01-01,Treated,28.5
48,2015,2015-01-01,Treated,33.5
49,2015,2015-01-01,Control,25.5
50,2015,2015-01-01,Control,10.375
51,2015,2015-01-01,Control,23.875
52,2015,2015-01-01,Control,24.75
53,2015,2015-01-01,Control,17.375
54,2015,2015-01-01,Control,12.625
55,2015,2015-01-01,Control,10.125
56,2015,2015-01-01,Control,11.625
57,2015,2015-01-01,Control,18.75
58,2015,2015-01-01,Control,15.375
59,2015,2015-01-01,Control,11
60,2015,2015-01-01,Control,24.75
61,2015,2015-01-01,Control,15
62,2015,2015-01-01,Control,25.5
1,2018,2018-01-01,Treated,36
2,2018,2018-01-01,Treated,20.25
3,2018,2018-01-01,Treated,9.5
4,2018,2018-01-01,Treated,31.875
5,2018,2018-01-01,Treated,13.625
6,2018,2018-01-01,Treated,9.125
7,2018,2018-01-01,Treated,13.75
8,2018,2018-01-01,Treated,2.375
9,2018,2018-01-01,Treated,20.375
10,2018,2018-01-01,Treated,7
11,2018,2018-01-01,Treated,12.375
12,2018,2018-01-01,Treated,30
13,2018,2018-01-01,Treated,18.625
14,2018,2018-01-01,Treated,29.875
15,2018,2018-01-01,Treated,17.375
16,2018,2018-01-01,Control,6.125
17,2018,2018-01-01,Control,8.0625
18,2018,2018-01-01,Control,44.5625
19,2018,2018-01-01,Control,19.25
20,2018,2018-01-01,Control,33.25
21,2018,2018-01-01,Control,34.25
22,2018,2018-01-01,Control,14
23,2018,2018-01-01,Control,22.3125
24,2018,2018-01-01,Control,19.75
25,2018,2018-01-01,Control,1.625
26,2018,2018-01-01,Control,12.375
27,2018,2018-01-01,Control,15.375
28,2018,2018-01-01,Control,20.25
29,2018,2018-01-01,Control,22.375
30,2018,2018-01-01,Control,13.25
31,2018,2018-01-01,Control,28.375
32,2018,2018-01-01,Control,11
33,2018,2018-01-01,Treated,7.5
34,2018,2018-01-01,Treated,15.375
35,2018,2018-01-01,Treated,29.875
36,2018,2018-01-01,Treated,13.75
37,2018,2018-01-01,Treated,23.3125
38,2018,2018-01-01,Treated,6.375
39,2018,2018-01-01,Treated,54.625
40,2018,2018-01-01,Treated,43.125
41,2018,2018-01-01,Treated,12.25
42,2018,2018-01-01,Treated,37
43,2018,2018-01-01,Treated,8.25
44,2018,2018-01-01,Treated,31.875
45,2018,2018-01-01,Treated,42.625
46,2018,2018-01-01,Treated,60.75
47,2018,2018-01-01,Treated,46
48,2018,2018-01-01,Treated,54.375
49,2018,2018-01-01,Control,16.875
50,2018,2018-01-01,Control,38.25
51,2018,2018-01-01,Control,29.125
52,2018,2018-01-01,Control,19
53,2018,2018-01-01,Control,19.25
54,2018,2018-01-01,Control,13.75
55,2018,2018-01-01,Control,25.625
56,2018,2018-01-01,Control,32
57,2018,2018-01-01,Control,23.375
58,2018,2018-01-01,Control,14.25
59,2018,2018-01-01,Control,35.5
60,2018,2018-01-01,Control,3.375
61,2018,2018-01-01,Control,4.125
62,2018,2018-01-01,Control,16.125
1,2021,2021-01-01,Treated,27.375
2,2021,2021-01-01,Treated,14.5
3,2021,2021-01-01,Treated,2.125
4,2021,2021-01-01,Treated,23.375
5,2021,2021-01-01,Treated,7.375
6,2021,2021-01-01,Treated,13.875
7,2021,2021-01-01,Treated,17.125
8,2021,2021-01-01,Treated,6.25
9,2021,2021-01-01,Treated,19
10,2021,2021-01-01,Treated,18.125
11,2021,2021-01-01,Treated,8.5
12,2021,2021-01-01,Treated,19.75
13,2021,2021-01-01,Treated,16.875
14,2021,2021-01-01,Treated,24.75
15,2021,2021-01-01,Treated,47.5
16,2021,2021-01-01,Control,10.875
17,2021,2021-01-01,Control,8.6875
18,2021,2021-01-01,Control,67
19,2021,2021-01-01,Control,17.375
20,2021,2021-01-01,Control,28.75
21,2021,2021-01-01,Control,62.25
22,2021,2021-01-01,Control,10.125
23,2021,2021-01-01,Control,29.25
24,2021,2021-01-01,Control,20.25
25,2021,2021-01-01,Control,38.125
26,2021,2021-01-01,Control,41.875
27,2021,2021-01-01,Control,28.5
28,2021,2021-01-01,Control,51.5
29,2021,2021-01-01,Control,46.875
30,2021,2021-01-01,Control,37.375
31,2021,2021-01-01,Control,54
32,2021,2021-01-01,Control,49.125
33,2021,2021-01-01,Treated,3.5
34,2021,2021-01-01,Treated,23.125
35,2021,2021-01-01,Treated,10
36,2021,2021-01-01,Treated,22.75
37,2021,2021-01-01,Treated,30.75
38,2021,2021-01-01,Treated,8.375
39,2021,2021-01-01,Treated,30
40,2021,2021-01-01,Treated,7.375
41,2021,2021-01-01,Treated,5.875
42,2021,2021-01-01,Treated,32.5
43,2021,2021-01-01,Treated,43.875
44,2021,2021-01-01,Treated,44.25
45,2021,2021-01-01,Treated,44.625
46,2021,2021-01-01,Treated,52.875
47,2021,2021-01-01,Treated,39.125
48,2021,2021-01-01,Treated,22.75
49,2021,2021-01-01,Control,22.25
50,2021,2021-01-01,Control,26.875
51,2021,2021-01-01,Control,10.375
52,2021,2021-01-01,Control,6.25
53,2021,2021-01-01,Control,28.25
54,2021,2021-01-01,Control,25.875
55,2021,2021-01-01,Control,19.1875
56,2021,2021-01-01,Control,14.375
57,2021,2021-01-01,Control,16.875
58,2021,2021-01-01,Control,14.375
59,2021,2021-01-01,Control,15.625
60,2021,2021-01-01,Control,7.875
61,2021,2021-01-01,Control,8.375
62,2021,2021-01-01,Control,11.875
