Sample,Year,year.xaxis,Treatment,Cover
11,2013,2013-01-01,Treated,3.25
12,2013,2013-01-01,Treated,31.083333333333332
13,2013,2013-01-01,Treated,26
14,2013,2013-01-01,Treated,26.125
15,2013,2013-01-01,Treated,11.75
16,2013,2013-01-01,Control,38.416666666666664
17,2013,2013-01-01,Control,26.583333333333332
18,2013,2013-01-01,Control,28.75
19,2013,2013-01-01,Control,35.583333333333336
20,2013,2013-01-01,Control,61.166666666666664
21,2013,2013-01-01,Control,14.333333333333334
22,2013,2013-01-01,Control,11.5
23,2013,2013-01-01,Control,16.666666666666668
24,2013,2013-01-01,Control,16.583333333333332
25,2013,2013-01-01,Control,1.9166666666666667
26,2013,2013-01-01,Control,9.833333333333334
27,2013,2013-01-01,Control,3.833333333333333
28,2013,2013-01-01,Control,36.5
29,2013,2013-01-01,Control,21.916666666666668
30,2013,2013-01-01,Control,25.833333333333332
31,2013,2013-01-01,Control,24.833333333333332
32,2013,2013-01-01,Control,24.75
33,2013,2013-01-01,Treated,3.4166666666666665
34,2013,2013-01-01,Treated,49.25
35,2013,2013-01-01,Treated,35.5
37,2013,2013-01-01,Treated,50.25
38,2013,2013-01-01,Treated,22.583333333333332
39,2013,2013-01-01,Treated,11.75
40,2013,2013-01-01,Treated,12.916666666666666
41,2013,2013-01-01,Treated,29
42,2013,2013-01-01,Treated,40.5
43,2013,2013-01-01,Treated,50.75
44,2013,2013-01-01,Treated,39.25
45,2013,2013-01-01,Treated,45
46,2013,2013-01-01,Treated,37.916666666666664
47,2013,2013-01-01,Treated,19.166666666666668
49,2013,2013-01-01,Control,34
50,2013,2013-01-01,Control,40.416666666666664
51,2013,2013-01-01,Control,24.5
52,2013,2013-01-01,Control,34.916666666666664
53,2013,2013-01-01,Control,31.666666666666668
54,2013,2013-01-01,Control,36.16666666666667
55,2013,2013-01-01,Control,34.458333333333336
56,2013,2013-01-01,Control,46.41666666666667
57,2013,2013-01-01,Control,33.5
59,2013,2013-01-01,Control,44.916666666666664
60,2013,2013-01-01,Control,32.16666666666667
61,2013,2013-01-01,Control,23.583333333333332
62,2013,2013-01-01,Control,15.666666666666666
1,2014,2014-01-01,Treated,22.375
2,2014,2014-01-01,Treated,25.25
3,2014,2014-01-01,Treated,15.75
4,2014,2014-01-01,Treated,6.375
5,2014,2014-01-01,Treated,12.875
6,2014,2014-01-01,Treated,37.5
7,2014,2014-01-01,Treated,11.375
8,2014,2014-01-01,Treated,3.625
9,2014,2014-01-01,Treated,28.125
10,2014,2014-01-01,Treated,9
11,2014,2014-01-01,Treated,20.125
12,2014,2014-01-01,Treated,26.375
13,2014,2014-01-01,Treated,27.5
14,2014,2014-01-01,Treated,43.8125
15,2014,2014-01-01,Treated,19.125
17,2014,2014-01-01,Control,38.875
18,2014,2014-01-01,Control,63.875
19,2014,2014-01-01,Control,23.25
20,2014,2014-01-01,Control,83.875
21,2014,2014-01-01,Control,55.625
22,2014,2014-01-01,Control,40.5
23,2014,2014-01-01,Control,33.625
24,2014,2014-01-01,Control,30.75
25,2014,2014-01-01,Control,22
26,2014,2014-01-01,Control,23.625
27,2014,2014-01-01,Control,18.875
28,2014,2014-01-01,Control,39.25
29,2014,2014-01-01,Control,38.75
30,2014,2014-01-01,Control,52.125
31,2014,2014-01-01,Control,30.375
32,2014,2014-01-01,Control,21.625
33,2014,2014-01-01,Treated,14.1875
34,2014,2014-01-01,Treated,79.75
35,2014,2014-01-01,Treated,62.625
36,2014,2014-01-01,Treated,67.5
37,2014,2014-01-01,Treated,40.0625
38,2014,2014-01-01,Treated,10.875
39,2014,2014-01-01,Treated,26.25
40,2014,2014-01-01,Treated,63.375
41,2014,2014-01-01,Treated,35.25
42,2014,2014-01-01,Treated,43.75
43,2014,2014-01-01,Treated,61.5
44,2014,2014-01-01,Treated,40.625
45,2014,2014-01-01,Treated,30
46,2014,2014-01-01,Treated,14
47,2014,2014-01-01,Treated,33
48,2014,2014-01-01,Treated,41.75
49,2014,2014-01-01,Control,24.625
50,2014,2014-01-01,Control,25.375
51,2014,2014-01-01,Control,22.375
52,2014,2014-01-01,Control,16.125
53,2014,2014-01-01,Control,30.75
54,2014,2014-01-01,Control,23
55,2014,2014-01-01,Control,16
56,2014,2014-01-01,Control,21.875
57,2014,2014-01-01,Control,31.5
58,2014,2014-01-01,Control,22.5
59,2014,2014-01-01,Control,34.875
60,2014,2014-01-01,Control,33.625
61,2014,2014-01-01,Control,8.5
62,2014,2014-01-01,Control,19.5
1,2015,2015-01-01,Treated,14.75
2,2015,2015-01-01,Treated,17
3,2015,2015-01-01,Treated,10.125
4,2015,2015-01-01,Treated,8.875
5,2015,2015-01-01,Treated,11.25
6,2015,2015-01-01,Treated,27.375
7,2015,2015-01-01,Treated,3.75
8,2015,2015-01-01,Treated,0
9,2015,2015-01-01,Treated,30.75
10,2015,2015-01-01,Treated,6.5
11,2015,2015-01-01,Treated,7.5
12,2015,2015-01-01,Treated,23.25
13,2015,2015-01-01,Treated,17.25
14,2015,2015-01-01,Treated,28.75
15,2015,2015-01-01,Treated,10.375
16,2015,2015-01-01,Control,29.75
17,2015,2015-01-01,Control,8.5
18,2015,2015-01-01,Control,28.125
19,2015,2015-01-01,Control,12.5
20,2015,2015-01-01,Control,24.75
21,2015,2015-01-01,Control,14.125
22,2015,2015-01-01,Control,12.5
23,2015,2015-01-01,Control,9.0625
24,2015,2015-01-01,Control,17.375
25,2015,2015-01-01,Control,12.25
26,2015,2015-01-01,Control,1.875
27,2015,2015-01-01,Control,12.5
28,2015,2015-01-01,Control,13
29,2015,2015-01-01,Control,11.875
30,2015,2015-01-01,Control,12.125
31,2015,2015-01-01,Control,12.25
32,2015,2015-01-01,Control,5
33,2015,2015-01-01,Treated,27.75
34,2015,2015-01-01,Treated,62.625
35,2015,2015-01-01,Treated,73.5
36,2015,2015-01-01,Treated,70.875
37,2015,2015-01-01,Treated,45.6875
38,2015,2015-01-01,Treated,24.875
39,2015,2015-01-01,Treated,32.375
40,2015,2015-01-01,Treated,48.625
41,2015,2015-01-01,Treated,43.25
42,2015,2015-01-01,Treated,41
43,2015,2015-01-01,Treated,44.25
44,2015,2015-01-01,Treated,31.875
45,2015,2015-01-01,Treated,41.625
46,2015,2015-01-01,Treated,38.125
47,2015,2015-01-01,Treated,33.625
48,2015,2015-01-01,Treated,62.875
49,2015,2015-01-01,Control,25.625
50,2015,2015-01-01,Control,14.125
51,2015,2015-01-01,Control,25.75
52,2015,2015-01-01,Control,25.625
53,2015,2015-01-01,Control,25.625
54,2015,2015-01-01,Control,29.5
55,2015,2015-01-01,Control,28.875
56,2015,2015-01-01,Control,32.875
57,2015,2015-01-01,Control,31.25
58,2015,2015-01-01,Control,28.5
59,2015,2015-01-01,Control,59.375
60,2015,2015-01-01,Control,33
61,2015,2015-01-01,Control,20.125
62,2015,2015-01-01,Control,29.875
1,2018,2018-01-01,Treated,36
2,2018,2018-01-01,Treated,20.375
3,2018,2018-01-01,Treated,9.5
4,2018,2018-01-01,Treated,31.875
5,2018,2018-01-01,Treated,13.625
6,2018,2018-01-01,Treated,19.125
7,2018,2018-01-01,Treated,13.75
8,2018,2018-01-01,Treated,2.375
9,2018,2018-01-01,Treated,38.625
10,2018,2018-01-01,Treated,7.75
11,2018,2018-01-01,Treated,12.625
12,2018,2018-01-01,Treated,31.875
13,2018,2018-01-01,Treated,26.25
14,2018,2018-01-01,Treated,39.25
15,2018,2018-01-01,Treated,17.75
16,2018,2018-01-01,Control,48.125
17,2018,2018-01-01,Control,8.6875
18,2018,2018-01-01,Control,45.1875
19,2018,2018-01-01,Control,20.625
20,2018,2018-01-01,Control,60.25
21,2018,2018-01-01,Control,35.125
22,2018,2018-01-01,Control,17.75
23,2018,2018-01-01,Control,22.3125
24,2018,2018-01-01,Control,19.875
25,2018,2018-01-01,Control,1.625
26,2018,2018-01-01,Control,12.375
27,2018,2018-01-01,Control,15.375
28,2018,2018-01-01,Control,21
29,2018,2018-01-01,Control,31.875
30,2018,2018-01-01,Control,23.25
31,2018,2018-01-01,Control,37.75
32,2018,2018-01-01,Control,11
33,2018,2018-01-01,Treated,37.5
34,2018,2018-01-01,Treated,89.75
35,2018,2018-01-01,Treated,77.375
36,2018,2018-01-01,Treated,70
37,2018,2018-01-01,Treated,58.9375
38,2018,2018-01-01,Treated,35.125
39,2018,2018-01-01,Treated,67.75
40,2018,2018-01-01,Treated,75.125
41,2018,2018-01-01,Treated,60.5
42,2018,2018-01-01,Treated,66.375
43,2018,2018-01-01,Treated,37.625
44,2018,2018-01-01,Treated,55.625
45,2018,2018-01-01,Treated,56.375
46,2018,2018-01-01,Treated,66
47,2018,2018-01-01,Treated,50.375
48,2018,2018-01-01,Treated,67.5
49,2018,2018-01-01,Control,21.875
50,2018,2018-01-01,Control,43.25
51,2018,2018-01-01,Control,29.375
52,2018,2018-01-01,Control,27.75
53,2018,2018-01-01,Control,21.25
54,2018,2018-01-01,Control,30.625
55,2018,2018-01-01,Control,38.75
56,2018,2018-01-01,Control,37.125
57,2018,2018-01-01,Control,45.25
58,2018,2018-01-01,Control,40.5
59,2018,2018-01-01,Control,45.625
60,2018,2018-01-01,Control,18.375
61,2018,2018-01-01,Control,10.125
62,2018,2018-01-01,Control,17.1875
1,2021,2021-01-01,Treated,27.375
2,2021,2021-01-01,Treated,15.125
3,2021,2021-01-01,Treated,2.25
4,2021,2021-01-01,Treated,24
5,2021,2021-01-01,Treated,7.375
6,2021,2021-01-01,Treated,14.75
7,2021,2021-01-01,Treated,30.25
8,2021,2021-01-01,Treated,6.25
9,2021,2021-01-01,Treated,29.125
10,2021,2021-01-01,Treated,19.5
11,2021,2021-01-01,Treated,9.25
12,2021,2021-01-01,Treated,23.625
13,2021,2021-01-01,Treated,21.875
14,2021,2021-01-01,Treated,25.375
15,2021,2021-01-01,Treated,48.75
16,2021,2021-01-01,Control,31
17,2021,2021-01-01,Control,26.9375
18,2021,2021-01-01,Control,71.375
19,2021,2021-01-01,Control,21.25
20,2021,2021-01-01,Control,36.875
21,2021,2021-01-01,Control,79.25
22,2021,2021-01-01,Control,47
23,2021,2021-01-01,Control,33
24,2021,2021-01-01,Control,20.25
25,2021,2021-01-01,Control,38.125
26,2021,2021-01-01,Control,45.625
27,2021,2021-01-01,Control,62.875
28,2021,2021-01-01,Control,55.375
29,2021,2021-01-01,Control,75
30,2021,2021-01-01,Control,48.625
31,2021,2021-01-01,Control,77.875
32,2021,2021-01-01,Control,71
33,2021,2021-01-01,Treated,33.5
34,2021,2021-01-01,Treated,55.75
35,2021,2021-01-01,Treated,68.75
36,2021,2021-01-01,Treated,60.875
37,2021,2021-01-01,Treated,40.75
38,2021,2021-01-01,Treated,41
39,2021,2021-01-01,Treated,40
40,2021,2021-01-01,Treated,40
41,2021,2021-01-01,Treated,5.875
42,2021,2021-01-01,Treated,67.5
43,2021,2021-01-01,Treated,93.875
44,2021,2021-01-01,Treated,65
45,2021,2021-01-01,Treated,71.5
46,2021,2021-01-01,Treated,61.875
47,2021,2021-01-01,Treated,66.625
48,2021,2021-01-01,Treated,44
49,2021,2021-01-01,Control,34.75
50,2021,2021-01-01,Control,37.625
51,2021,2021-01-01,Control,11.125
52,2021,2021-01-01,Control,35.125
53,2021,2021-01-01,Control,32.75
54,2021,2021-01-01,Control,54.75
55,2021,2021-01-01,Control,50.4375
56,2021,2021-01-01,Control,19.5
57,2021,2021-01-01,Control,49.375
58,2021,2021-01-01,Control,45.625
59,2021,2021-01-01,Control,36.25
60,2021,2021-01-01,Control,31.625
61,2021,2021-01-01,Control,18.375
62,2021,2021-01-01,Control,16.25
