Sample,Year,year.xaxis,Treatment,Cover
50,2013,2013-01-01,Control,1.25
51,2013,2013-01-01,Control,0.8333333333333334
52,2013,2013-01-01,Control,2.666666666666667
53,2013,2013-01-01,Control,5
54,2013,2013-01-01,Control,0
55,2013,2013-01-01,Control,3.5
56,2013,2013-01-01,Control,1.6666666666666667
57,2013,2013-01-01,Control,2.5
59,2013,2013-01-01,Control,0
60,2013,2013-01-01,Control,0
61,2013,2013-01-01,Control,2.5
62,2013,2013-01-01,Control,0
1,2014,2014-01-01,Treated,7.625
2,2014,2014-01-01,Treated,1.875
3,2014,2014-01-01,Treated,5.125
4,2014,2014-01-01,Treated,4.625
5,2014,2014-01-01,Treated,1.625
6,2014,2014-01-01,Treated,14.5
7,2014,2014-01-01,Treated,1.375
8,2014,2014-01-01,Treated,1.375
9,2014,2014-01-01,Treated,5.75
10,2014,2014-01-01,Treated,1.5
11,2014,2014-01-01,Treated,0.875
12,2014,2014-01-01,Treated,14
13,2014,2014-01-01,Treated,8.5
14,2014,2014-01-01,Treated,8.875
15,2014,2014-01-01,Treated,7.75
17,2014,2014-01-01,Control,1.5
18,2014,2014-01-01,Control,0.125
19,2014,2014-01-01,Control,1
20,2014,2014-01-01,Control,29.375
21,2014,2014-01-01,Control,4.625
22,2014,2014-01-01,Control,0.875
23,2014,2014-01-01,Control,0.25
24,2014,2014-01-01,Control,3.875
25,2014,2014-01-01,Control,4.5
26,2014,2014-01-01,Control,3.75
27,2014,2014-01-01,Control,3.75
28,2014,2014-01-01,Control,4
29,2014,2014-01-01,Control,0.125
30,2014,2014-01-01,Control,3.875
31,2014,2014-01-01,Control,5
32,2014,2014-01-01,Control,0.875
33,2014,2014-01-01,Treated,0
34,2014,2014-01-01,Treated,0.75
35,2014,2014-01-01,Treated,0
36,2014,2014-01-01,Treated,0
37,2014,2014-01-01,Treated,0
38,2014,2014-01-01,Treated,0
39,2014,2014-01-01,Treated,0.625
40,2014,2014-01-01,Treated,0
41,2014,2014-01-01,Treated,0
42,2014,2014-01-01,Treated,0.25
43,2014,2014-01-01,Treated,0
44,2014,2014-01-01,Treated,2.625
45,2014,2014-01-01,Treated,0
46,2014,2014-01-01,Treated,3.75
47,2014,2014-01-01,Treated,13.25
48,2014,2014-01-01,Treated,4.375
49,2014,2014-01-01,Control,0
50,2014,2014-01-01,Control,0
51,2014,2014-01-01,Control,0
52,2014,2014-01-01,Control,0.125
53,2014,2014-01-01,Control,3.75
54,2014,2014-01-01,Control,0
55,2014,2014-01-01,Control,0.5
56,2014,2014-01-01,Control,0.875
57,2014,2014-01-01,Control,0.125
58,2014,2014-01-01,Control,0
59,2014,2014-01-01,Control,0.25
60,2014,2014-01-01,Control,0
61,2014,2014-01-01,Control,0.625
62,2014,2014-01-01,Control,0.125
1,2015,2015-01-01,Treated,5.125
2,2015,2015-01-01,Treated,11.875
3,2015,2015-01-01,Treated,7.5
4,2015,2015-01-01,Treated,8.75
5,2015,2015-01-01,Treated,5.125
6,2015,2015-01-01,Treated,7.625
7,2015,2015-01-01,Treated,0.625
8,2015,2015-01-01,Treated,0
9,2015,2015-01-01,Treated,12
10,2015,2015-01-01,Treated,1
11,2015,2015-01-01,Treated,1.25
12,2015,2015-01-01,Treated,15
13,2015,2015-01-01,Treated,8.25
14,2015,2015-01-01,Treated,8.75
15,2015,2015-01-01,Treated,1.375
16,2015,2015-01-01,Control,10.625
17,2015,2015-01-01,Control,0.875
18,2015,2015-01-01,Control,0.25
19,2015,2015-01-01,Control,5
20,2015,2015-01-01,Control,5
21,2015,2015-01-01,Control,7.625
22,2015,2015-01-01,Control,1.375
23,2015,2015-01-01,Control,0.5
24,2015,2015-01-01,Control,0.875
25,2015,2015-01-01,Control,10.625
26,2015,2015-01-01,Control,0
27,2015,2015-01-01,Control,0
28,2015,2015-01-01,Control,10.125
29,2015,2015-01-01,Control,0.25
30,2015,2015-01-01,Control,0.625
31,2015,2015-01-01,Control,5
32,2015,2015-01-01,Control,1.375
33,2015,2015-01-01,Treated,0.25
34,2015,2015-01-01,Treated,0.625
35,2015,2015-01-01,Treated,0.125
36,2015,2015-01-01,Treated,0.125
37,2015,2015-01-01,Treated,0
38,2015,2015-01-01,Treated,0
39,2015,2015-01-01,Treated,0.25
40,2015,2015-01-01,Treated,0.125
41,2015,2015-01-01,Treated,4.5
42,2015,2015-01-01,Treated,0.75
43,2015,2015-01-01,Treated,0.25
44,2015,2015-01-01,Treated,2
45,2015,2015-01-01,Treated,3.875
46,2015,2015-01-01,Treated,9.375
47,2015,2015-01-01,Treated,18.875
48,2015,2015-01-01,Treated,22.625
49,2015,2015-01-01,Control,0
50,2015,2015-01-01,Control,1.375
51,2015,2015-01-01,Control,3.75
52,2015,2015-01-01,Control,14.375
53,2015,2015-01-01,Control,1.5
54,2015,2015-01-01,Control,0.125
55,2015,2015-01-01,Control,2.25
56,2015,2015-01-01,Control,1.5
57,2015,2015-01-01,Control,0.875
58,2015,2015-01-01,Control,1.875
59,2015,2015-01-01,Control,1.25
60,2015,2015-01-01,Control,1.375
61,2015,2015-01-01,Control,0
62,2015,2015-01-01,Control,1.25
1,2018,2018-01-01,Treated,4.75
2,2018,2018-01-01,Treated,5.125
3,2018,2018-01-01,Treated,0
4,2018,2018-01-01,Treated,27.125
5,2018,2018-01-01,Treated,9
6,2018,2018-01-01,Treated,2.125
7,2018,2018-01-01,Treated,8.25
8,2018,2018-01-01,Treated,0.75
9,2018,2018-01-01,Treated,4.625
10,2018,2018-01-01,Treated,2
11,2018,2018-01-01,Treated,4.5
12,2018,2018-01-01,Treated,21.375
13,2018,2018-01-01,Treated,17.875
14,2018,2018-01-01,Treated,10
15,2018,2018-01-01,Treated,14
16,2018,2018-01-01,Control,0.625
17,2018,2018-01-01,Control,0.75
18,2018,2018-01-01,Control,0.125
19,2018,2018-01-01,Control,13.875
20,2018,2018-01-01,Control,18.875
21,2018,2018-01-01,Control,11.375
22,2018,2018-01-01,Control,8
23,2018,2018-01-01,Control,16.875
24,2018,2018-01-01,Control,0.75
25,2018,2018-01-01,Control,1.5
26,2018,2018-01-01,Control,0.75
27,2018,2018-01-01,Control,4.5
28,2018,2018-01-01,Control,14.375
29,2018,2018-01-01,Control,2.5
30,2018,2018-01-01,Control,4.125
31,2018,2018-01-01,Control,13.125
32,2018,2018-01-01,Control,1.125
33,2018,2018-01-01,Treated,0.125
34,2018,2018-01-01,Treated,0.125
35,2018,2018-01-01,Treated,0.75
36,2018,2018-01-01,Treated,0.25
37,2018,2018-01-01,Treated,0
38,2018,2018-01-01,Treated,0
39,2018,2018-01-01,Treated,4.25
40,2018,2018-01-01,Treated,0.875
41,2018,2018-01-01,Treated,1.25
42,2018,2018-01-01,Treated,1
43,2018,2018-01-01,Treated,1.125
44,2018,2018-01-01,Treated,11.5
45,2018,2018-01-01,Treated,0.625
46,2018,2018-01-01,Treated,0.625
47,2018,2018-01-01,Treated,1
48,2018,2018-01-01,Treated,5.375
49,2018,2018-01-01,Control,0.25
50,2018,2018-01-01,Control,4.875
51,2018,2018-01-01,Control,0.375
52,2018,2018-01-01,Control,8.75
53,2018,2018-01-01,Control,0.25
54,2018,2018-01-01,Control,0.25
55,2018,2018-01-01,Control,1.625
56,2018,2018-01-01,Control,22.625
57,2018,2018-01-01,Control,4.125
58,2018,2018-01-01,Control,0.125
59,2018,2018-01-01,Control,0.25
60,2018,2018-01-01,Control,0.625
61,2018,2018-01-01,Control,0.75
62,2018,2018-01-01,Control,0.125
1,2021,2021-01-01,Treated,13.75
2,2021,2021-01-01,Treated,0.125
3,2021,2021-01-01,Treated,0.625
4,2021,2021-01-01,Treated,4.375
5,2021,2021-01-01,Treated,4.5
6,2021,2021-01-01,Treated,5.75
7,2021,2021-01-01,Treated,4.375
8,2021,2021-01-01,Treated,5
9,2021,2021-01-01,Treated,5.125
10,2021,2021-01-01,Treated,5.75
11,2021,2021-01-01,Treated,4.375
12,2021,2021-01-01,Treated,6.375
13,2021,2021-01-01,Treated,5.625
14,2021,2021-01-01,Treated,0.25
15,2021,2021-01-01,Treated,23.5
16,2021,2021-01-01,Control,5.625
17,2021,2021-01-01,Control,5
18,2021,2021-01-01,Control,3.875
19,2021,2021-01-01,Control,7.625
20,2021,2021-01-01,Control,13.125
21,2021,2021-01-01,Control,20
22,2021,2021-01-01,Control,7.5
23,2021,2021-01-01,Control,13.875
24,2021,2021-01-01,Control,7.5
25,2021,2021-01-01,Control,22.5
26,2021,2021-01-01,Control,7.5
27,2021,2021-01-01,Control,3.75
28,2021,2021-01-01,Control,16.875
29,2021,2021-01-01,Control,7.5
30,2021,2021-01-01,Control,0
31,2021,2021-01-01,Control,22.5
32,2021,2021-01-01,Control,20.875
33,2021,2021-01-01,Treated,0.875
34,2021,2021-01-01,Treated,5.125
35,2021,2021-01-01,Treated,0.625
36,2021,2021-01-01,Treated,0.125
37,2021,2021-01-01,Treated,4.5
38,2021,2021-01-01,Treated,1.25
39,2021,2021-01-01,Treated,4.625
40,2021,2021-01-01,Treated,1
41,2021,2021-01-01,Treated,4.375
42,2021,2021-01-01,Treated,7.625
43,2021,2021-01-01,Treated,0.625
44,2021,2021-01-01,Treated,5.125
45,2021,2021-01-01,Treated,0.125
46,2021,2021-01-01,Treated,10
47,2021,2021-01-01,Treated,8.5
48,2021,2021-01-01,Treated,4.625
49,2021,2021-01-01,Control,0.375
50,2021,2021-01-01,Control,10.75
51,2021,2021-01-01,Control,1.125
52,2021,2021-01-01,Control,1.5
53,2021,2021-01-01,Control,4.75
54,2021,2021-01-01,Control,0.625
55,2021,2021-01-01,Control,4.625
56,2021,2021-01-01,Control,2.75
57,2021,2021-01-01,Control,1.375
58,2021,2021-01-01,Control,0.75
59,2021,2021-01-01,Control,2.125
60,2021,2021-01-01,Control,1.625
61,2021,2021-01-01,Control,5.375
62,2021,2021-01-01,Control,5.25
