"","Year","Sample","dShannon","Name","Treatment3"
"63","2014-2015",13,-0.0182227593445235,"Channel 21, Station 11 + 24 BAF","Treated"
"64","2015-2018",13,-0.10863423920061,"Channel 21, Station 11 + 24 BAF","Treated"
"65","2018-2021",13,-0.114773836317045,"Channel 21, Station 11 + 24 BAF","Treated"
"66","2012-2013",14,-0.027475801871426,"Channel 21, Station 11 + 63 ORD","Treated"
"67","2013-2014",14,0.0497257058188112,"Channel 21, Station 11 + 63 ORD","Treated"
"68","2014-2015",14,0.0886170644344059,"Channel 21, Station 11 + 63 ORD","Treated"
"69","2015-2018",14,-0.0639613559733135,"Channel 21, Station 11 + 63 ORD","Treated"
"70","2018-2021",14,0.344054796926318,"Channel 21, Station 11 + 63 ORD","Treated"
"71","2012-2013",15,-0.104552706919158,"Channel 21, Station 11 + 73 BAF","Treated"
"72","2013-2014",15,-0.0994749266899911,"Channel 21, Station 11 + 73 BAF","Treated"
"73","2014-2015",15,-0.000358702060669902,"Channel 21, Station 11 + 73 BAF","Treated"
"74","2015-2018",15,0.215753812338119,"Channel 21, Station 11 + 73 BAF","Treated"
"75","2018-2021",15,-0.21485044571802,"Channel 21, Station 11 + 73 BAF","Treated"
"76","2012-2013",16,0.281783956173396,"Channel 19, Station 01 + 04","Control"
"77","2013-2014",16,NA,"Channel 19, Station 01 + 04","Control"
"78","2014-2015",16,NA,"Channel 19, Station 01 + 04","Control"
"79","2015-2018",16,0.0762446619966045,"Channel 19, Station 01 + 04","Control"
"80","2018-2021",16,0.00824683944681345,"Channel 19, Station 01 + 04","Control"
"81","2012-2013",17,NA,"Channel 19, Station 02 + 04","Control"
"82","2013-2014",17,0.222499038935221,"Channel 19, Station 02 + 04","Control"
"83","2014-2015",17,0.0167284374741567,"Channel 19, Station 02 + 04","Control"
"84","2015-2018",17,-0.000511108306193812,"Channel 19, Station 02 + 04","Control"
"85","2018-2021",17,-0.0269670502191097,"Channel 19, Station 02 + 04","Control"
"86","2012-2013",18,0.233787595334797,"Channel 19, Station 02 + 52","Control"
"87","2013-2014",18,-0.28102231956946,"Channel 19, Station 02 + 52","Control"
"88","2014-2015",18,0.0699774632928808,"Channel 19, Station 02 + 52","Control"
"89","2015-2018",18,-0.0346469146671796,"Channel 19, Station 02 + 52","Control"
"90","2018-2021",18,0.00593936718978577,"Channel 19, Station 02 + 52","Control"
"91","2012-2013",19,0.151018585130335,"Channel 19, Station 03 + 63","Control"
"92","2013-2014",19,0.040462046654944,"Channel 19, Station 03 + 63","Control"
"93","2014-2015",19,0.247273325059453,"Channel 19, Station 03 + 63","Control"
"94","2015-2018",19,-0.110844436124837,"Channel 19, Station 03 + 63","Control"
"95","2018-2021",19,0.116874354898439,"Channel 19, Station 03 + 63","Control"
"96","2012-2013",20,0.0232806312347508,"Channel 19, Station 03 + 98","Control"
"97","2013-2014",20,-0.0598679368875458,"Channel 19, Station 03 + 98","Control"
"98","2014-2015",20,0.0412828501126908,"Channel 19, Station 03 + 98","Control"
"99","2015-2018",20,0.0269301696205057,"Channel 19, Station 03 + 98","Control"
"100","2018-2021",20,0.0531509736924639,"Channel 19, Station 03 + 98","Control"
"101","2012-2013",21,0.237144422471977,"Channel 19, Station 05 + 00","Control"
"102","2013-2014",21,-0.0218273572094202,"Channel 19, Station 05 + 00","Control"
"103","2014-2015",21,0.182102484699039,"Channel 19, Station 05 + 00","Control"
"104","2015-2018",21,0.000120317775714945,"Channel 19, Station 05 + 00","Control"
"105","2018-2021",21,-0.108478841263585,"Channel 19, Station 05 + 00","Control"
"106","2012-2013",22,0.646763076423009,"Channel 19, Station 05 + 09","Control"
"107","2013-2014",22,-0.798965305927711,"Channel 19, Station 05 + 09","Control"
"108","2014-2015",22,-0.0324622679057129,"Channel 19, Station 05 + 09","Control"
"109","2015-2018",22,0.140149776747309,"Channel 19, Station 05 + 09","Control"
"110","2018-2021",22,-0.143683877947218,"Channel 19, Station 05 + 09","Control"
"111","2012-2013",23,0.174916421959311,"Channel 19, Station 05 + 62","Control"
"112","2013-2014",23,-0.122080391164434,"Channel 19, Station 05 + 62","Control"
"113","2014-2015",23,0.00296204105680908,"Channel 19, Station 05 + 62","Control"
"114","2015-2018",23,0.217270798110832,"Channel 19, Station 05 + 62","Control"
"115","2018-2021",23,0.102644536881833,"Channel 19, Station 05 + 62","Control"
"116","2012-2013",24,0.291961437000929,"Channel 19, Station 06 + 13","Control"
"117","2013-2014",24,-0.238162478472382,"Channel 19, Station 06 + 13","Control"
"118","2014-2015",24,0.559930730696447,"Channel 19, Station 06 + 13","Control"
"119","2015-2018",24,-0.126657873628241,"Channel 19, Station 06 + 13","Control"
"120","2018-2021",24,0.388368817868752,"Channel 19, Station 06 + 13","Control"
"121","2012-2013",25,2.2687159977909,"Channel 19, Station 06 + 97","Control"
"122","2013-2014",25,-1.38678613688692,"Channel 19, Station 06 + 97","Control"
"123","2014-2015",25,-0.589339728593235,"Channel 19, Station 06 + 97","Control"
"124","2015-2018",25,0.565902705805404,"Channel 19, Station 06 + 97","Control"
"125","2018-2021",25,-0.665362499098963,"Channel 19, Station 06 + 97","Control"
"126","2012-2013",26,0.221677319241327,"Channel 19, Station 07 + 30","Control"
"127","2013-2014",26,-0.341495494815924,"Channel 19, Station 07 + 30","Control"
"128","2014-2015",26,0.230059407266625,"Channel 19, Station 07 + 30","Control"
"129","2015-2018",26,-0.020622914507619,"Channel 19, Station 07 + 30","Control"
"130","2018-2021",26,-0.187359023062369,"Channel 19, Station 07 + 30","Control"
"131","2012-2013",27,1.24851398852197,"Channel 19, Station 07 + 50","Control"
"132","2013-2014",27,-0.977976545218501,"Channel 19, Station 07 + 50","Control"
"133","2014-2015",27,-0.0518112083647483,"Channel 19, Station 07 + 50","Control"
"134","2015-2018",27,-0.150392961132657,"Channel 19, Station 07 + 50","Control"
"135","2018-2021",27,-0.0130661314474294,"Channel 19, Station 07 + 50","Control"
"136","2012-2013",28,0.221382949869583,"Channel 19, Station 07 + 97","Control"
"137","2013-2014",28,0.156786032339126,"Channel 19, Station 07 + 97","Control"
"138","2014-2015",28,0.114785236410735,"Channel 19, Station 07 + 97","Control"
"139","2015-2018",28,-0.0394490427367302,"Channel 19, Station 07 + 97","Control"
"140","2018-2021",28,-0.039607636664304,"Channel 19, Station 07 + 97","Control"
"141","2012-2013",29,0.148834197886299,"Channel 19, Station 09 + 05","Control"
"142","2013-2014",29,0.118410834470455,"Channel 19, Station 09 + 05","Control"
"143","2014-2015",29,-0.251935564894084,"Channel 19, Station 09 + 05","Control"
"144","2015-2018",29,-0.0464747299680961,"Channel 19, Station 09 + 05","Control"
"145","2018-2021",29,0.0255923371065588,"Channel 19, Station 09 + 05","Control"
"146","2012-2013",30,-0.0589010429806306,"Channel 19, Station 09 + 26","Control"
"147","2013-2014",30,-0.356514135529256,"Channel 19, Station 09 + 26","Control"
"148","2014-2015",30,0.290744104021788,"Channel 19, Station 09 + 26","Control"
"149","2015-2018",30,-0.0639411003065165,"Channel 19, Station 09 + 26","Control"
"150","2018-2021",30,0.0468840980205638,"Channel 19, Station 09 + 26","Control"
"151","2012-2013",31,-1.27073787228208,"Channel 19, Station 09 + 68","Control"
"152","2013-2014",31,-0.0420100289916695,"Channel 19, Station 09 + 68","Control"
"153","2014-2015",31,0.233685617297303,"Channel 19, Station 09 + 68","Control"
"154","2015-2018",31,-0.0571642037879757,"Channel 19, Station 09 + 68","Control"
"155","2018-2021",31,-0.0295298552007705,"Channel 19, Station 09 + 68","Control"
"156","2012-2013",32,-0.105666778634854,"Channel 19, Station 10 + 98","Control"
"157","2013-2014",32,0.491212664915916,"Channel 19, Station 10 + 98","Control"
"158","2014-2015",32,0.142431174645911,"Channel 19, Station 10 + 98","Control"
"159","2015-2018",32,0.0292685516680973,"Channel 19, Station 10 + 98","Control"
"160","2018-2021",32,-0.25365133904669,"Channel 19, Station 10 + 98","Control"
"161","2012-2013",33,1.53581875438138,"Channel 13, Station 1 + 11.5 BAF","Treated"
"162","2013-2014",33,-1.28813668838561,"Channel 13, Station 1 + 11.5 BAF","Treated"
"163","2014-2015",33,-0.68301811022454,"Channel 13, Station 1 + 11.5 BAF","Treated"
"164","2015-2018",33,0.0664017637109176,"Channel 13, Station 1 + 11.5 BAF","Treated"
"165","2018-2021",33,0.116161416585265,"Channel 13, Station 1 + 11.5 BAF","Treated"
"166","2012-2013",34,-0.184631112418408,"Channel 13, Station 1 + 38.5 ORD","Treated"
"167","2013-2014",34,0.59433211513034,"Channel 13, Station 1 + 38.5 ORD","Treated"
"168","2014-2015",34,-0.965467264669141,"Channel 13, Station 1 + 38.5 ORD","Treated"
"169","2015-2018",34,0.0864838870428626,"Channel 13, Station 1 + 38.5 ORD","Treated"
"170","2018-2021",34,-0.320528861818302,"Channel 13, Station 1 + 38.5 ORD","Treated"
"171","2012-2013",35,-0.342167905882702,"Channel 13, Station 1 + 71 BAF","Treated"
"172","2013-2014",35,-0.380130262752572,"Channel 13, Station 1 + 71 BAF","Treated"
"173","2014-2015",35,0.294677746200928,"Channel 13, Station 1 + 71 BAF","Treated"
"174","2015-2018",35,-0.244866836407804,"Channel 13, Station 1 + 71 BAF","Treated"
"175","2018-2021",35,0.493397939471462,"Channel 13, Station 1 + 71 BAF","Treated"
"176","2012-2013",36,NA,"Channel 13, Station 1 + 77 ORD","Treated"
"177","2013-2014",36,NA,"Channel 13, Station 1 + 77 ORD","Treated"
"178","2014-2015",36,-0.643477956033006,"Channel 13, Station 1 + 77 ORD","Treated"
"179","2015-2018",36,0.0888289491591829,"Channel 13, Station 1 + 77 ORD","Treated"
"180","2018-2021",36,-0.168739551520307,"Channel 13, Station 1 + 77 ORD","Treated"
"181","2012-2013",37,0.878188235872007,"Channel 13, Station 1 + 99 ORD","Treated"
"182","2013-2014",37,-0.761615289028689,"Channel 13, Station 1 + 99 ORD","Treated"
"183","2014-2015",37,-0.0655729028516846,"Channel 13, Station 1 + 99 ORD","Treated"
"184","2015-2018",37,0.0271961804097143,"Channel 13, Station 1 + 99 ORD","Treated"
"185","2018-2021",37,0.0802027567353858,"Channel 13, Station 1 + 99 ORD","Treated"
"186","2012-2013",38,-0.409021333250543,"Channel 13, Station 2 + 16 BAF","Treated"
"187","2013-2014",38,0.870800174530488,"Channel 13, Station 2 + 16 BAF","Treated"
"188","2014-2015",38,-0.874568908771436,"Channel 13, Station 2 + 16 BAF","Treated"
"189","2015-2018",38,-0.0197845727609271,"Channel 13, Station 2 + 16 BAF","Treated"
"190","2018-2021",38,0.173044732452599,"Channel 13, Station 2 + 16 BAF","Treated"
"191","2012-2013",39,0.846816768350839,"Channel 13, Station 2 + 57 ORD","Treated"
"192","2013-2014",39,-0.688506006823289,"Channel 13, Station 2 + 57 ORD","Treated"
"193","2014-2015",39,-0.0986822483584192,"Channel 13, Station 2 + 57 ORD","Treated"
"194","2015-2018",39,-0.0904830084054651,"Channel 13, Station 2 + 57 ORD","Treated"
"195","2018-2021",39,0.178595314740305,"Channel 13, Station 2 + 57 ORD","Treated"
"196","2012-2013",40,0.153707019905899,"Channel 13, Station 2 + 67 BAF","Treated"
"197","2013-2014",40,-0.108696157068233,"Channel 13, Station 2 + 67 BAF","Treated"
"198","2014-2015",40,0.321753891585743,"Channel 13, Station 2 + 67 BAF","Treated"
"199","2015-2018",40,-0.0934738487812784,"Channel 13, Station 2 + 67 BAF","Treated"
"200","2018-2021",40,0.245508996418981,"Channel 13, Station 2 + 67 BAF","Treated"
"201","2012-2013",41,-0.203772144212886,"Channel 13, Station 3 + 09 ORD","Treated"
"202","2013-2014",41,0.217858450685107,"Channel 13, Station 3 + 09 ORD","Treated"
"203","2014-2015",41,-0.105836334355546,"Channel 13, Station 3 + 09 ORD","Treated"
"204","2015-2018",41,-0.0017120136650845,"Channel 13, Station 3 + 09 ORD","Treated"
"205","2018-2021",41,0.20042444704398,"Channel 13, Station 3 + 09 ORD","Treated"
"206","2012-2013",42,-0.310842946648769,"Channel 13, Station 3 + 31 BAF","Treated"
"207","2013-2014",42,1.03319673772526,"Channel 13, Station 3 + 31 BAF","Treated"
"208","2014-2015",42,-0.777654532469737,"Channel 13, Station 3 + 31 BAF","Treated"
"209","2015-2018",42,-0.240116285377485,"Channel 13, Station 3 + 31 BAF","Treated"
"210","2018-2021",42,0.128797568461953,"Channel 13, Station 3 + 31 BAF","Treated"
"211","2012-2013",43,0.112627760876517,"Channel 13, Station 3 + 65 ORD","Treated"
"212","2013-2014",43,0.0915417974250197,"Channel 13, Station 3 + 65 ORD","Treated"
"213","2014-2015",43,-0.0642336257425539,"Channel 13, Station 3 + 65 ORD","Treated"
"214","2015-2018",43,0.00188644383655262,"Channel 13, Station 3 + 65 ORD","Treated"
"215","2018-2021",43,0.00547857619688692,"Channel 13, Station 3 + 65 ORD","Treated"
"216","2012-2013",44,0.244898393299377,"Channel 13, Station 3 + 95.5 ORD","Treated"
"217","2013-2014",44,-0.249865174591217,"Channel 13, Station 3 + 95.5 ORD","Treated"
"218","2014-2015",44,-0.0251723215499291,"Channel 13, Station 3 + 95.5 ORD","Treated"
"219","2015-2018",44,-0.0505849912239289,"Channel 13, Station 3 + 95.5 ORD","Treated"
"220","2018-2021",44,0.0393432666975605,"Channel 13, Station 3 + 95.5 ORD","Treated"
"221","2012-2013",45,0.43988651168115,"Channel 13, Station 4 + 14.5 BAF","Treated"
"222","2013-2014",45,-0.34537677401659,"Channel 13, Station 4 + 14.5 BAF","Treated"
"223","2014-2015",45,-0.129631943317724,"Channel 13, Station 4 + 14.5 BAF","Treated"
"224","2015-2018",45,0.0690165512887008,"Channel 13, Station 4 + 14.5 BAF","Treated"
"225","2018-2021",45,0.0581284806793875,"Channel 13, Station 4 + 14.5 BAF","Treated"
"226","2012-2013",46,-0.293861445017858,"Channel 13, Station 4 + 36 ORD","Treated"
"227","2013-2014",46,0.212256249738129,"Channel 13, Station 4 + 36 ORD","Treated"
"228","2014-2015",46,-0.302618740163629,"Channel 13, Station 4 + 36 ORD","Treated"
"229","2015-2018",46,-0.0118471435954592,"Channel 13, Station 4 + 36 ORD","Treated"
"230","2018-2021",46,-0.0755184759608345,"Channel 13, Station 4 + 36 ORD","Treated"
"231","2012-2013",47,0.0146236832642922,"Channel 13, Station 4 + 50 BAF","Treated"
"232","2013-2014",47,0.102430596335742,"Channel 13, Station 4 + 50 BAF","Treated"
"233","2014-2015",47,-0.289474336898937,"Channel 13, Station 4 + 50 BAF","Treated"
"234","2015-2018",47,0.0481248446258247,"Channel 13, Station 4 + 50 BAF","Treated"
"235","2018-2021",47,-0.154970256771148,"Channel 13, Station 4 + 50 BAF","Treated"
"236","2012-2013",48,NA,"Channel 13, Station 4 + 78 ORD","Treated"
"237","2013-2014",48,NA,"Channel 13, Station 4 + 78 ORD","Treated"
"238","2014-2015",48,0.104675286325444,"Channel 13, Station 4 + 78 ORD","Treated"
"239","2015-2018",48,-0.0465930560525427,"Channel 13, Station 4 + 78 ORD","Treated"
"240","2018-2021",48,0.0809065435804751,"Channel 13, Station 4 + 78 ORD","Treated"
"241","2012-2013",49,-0.0982230460070548,"Channel 12, Station 1 + 04","Control"
"242","2013-2014",49,0.594887124082183,"Channel 12, Station 1 + 04","Control"
"243","2014-2015",49,-0.114765427795408,"Channel 12, Station 1 + 04","Control"
"244","2015-2018",49,0.0164670950044098,"Channel 12, Station 1 + 04","Control"
"245","2018-2021",49,0.0351421003790509,"Channel 12, Station 1 + 04","Control"
"246","2012-2013",50,-0.12153175357044,"Channel 12, Station 1 + 52","Control"
"247","2013-2014",50,0.390848984350271,"Channel 12, Station 1 + 52","Control"
"248","2014-2015",50,0.0233972387897717,"Channel 12, Station 1 + 52","Control"
"249","2015-2018",50,0.0474178692593877,"Channel 12, Station 1 + 52","Control"
"250","2018-2021",50,-0.0572175272394522,"Channel 12, Station 1 + 52","Control"
"251","2012-2013",51,-0.322719532928048,"Channel 12, Station 1 + 83","Control"
"252","2013-2014",51,-0.0918757165277869,"Channel 12, Station 1 + 83","Control"
"253","2014-2015",51,0.0173882890782452,"Channel 12, Station 1 + 83","Control"
"254","2015-2018",51,0.0248563942203731,"Channel 12, Station 1 + 83","Control"
"255","2018-2021",51,0.125477600069737,"Channel 12, Station 1 + 83","Control"
"256","2012-2013",52,-0.460085836715256,"Channel 12, Station 2 + 63","Control"
"257","2013-2014",52,0.247753074312923,"Channel 12, Station 2 + 63","Control"
"258","2014-2015",52,0.0977747448225542,"Channel 12, Station 2 + 63","Control"
"259","2015-2018",52,-0.152846443089285,"Channel 12, Station 2 + 63","Control"
"260","2018-2021",52,0.319454196099274,"Channel 12, Station 2 + 63","Control"
"261","2012-2013",53,-0.0841237562773543,"Channel 12, Station 2 + 98","Control"
"262","2013-2014",53,-0.166931092160956,"Channel 12, Station 2 + 98","Control"
"263","2014-2015",53,0.356240372733928,"Channel 12, Station 2 + 98","Control"
"264","2015-2018",53,0.0930107413381941,"Channel 12, Station 2 + 98","Control"
"265","2018-2021",53,-0.136187872394201,"Channel 12, Station 2 + 98","Control"
"266","2012-2013",54,0.0774631459211418,"Channel 12, Station 3 + 93","Control"
"267","2013-2014",54,-0.0827322080614645,"Channel 12, Station 3 + 93","Control"
"268","2014-2015",54,-0.126472164746888,"Channel 12, Station 3 + 93","Control"
"269","2015-2018",54,0.00298837655302348,"Channel 12, Station 3 + 93","Control"
"270","2018-2021",54,0.00356184537256258,"Channel 12, Station 3 + 93","Control"
"271","2012-2013",55,-0.00173031795206219,"Channel 12, Station 4 + 00","Control"
"272","2013-2014",55,0.423284581224733,"Channel 12, Station 4 + 00","Control"
"273","2014-2015",55,-0.441639055310014,"Channel 12, Station 4 + 00","Control"
"274","2015-2018",55,-0.0958107466568398,"Channel 12, Station 4 + 00","Control"
"275","2018-2021",55,0.0891433398797611,"Channel 12, Station 4 + 00","Control"
"276","2012-2013",56,-0.206348985928829,"Channel 12, Station 4 + 09","Control"
"277","2013-2014",56,0.0809554996807121,"Channel 12, Station 4 + 09","Control"
"278","2014-2015",56,-0.0724987098728385,"Channel 12, Station 4 + 09","Control"
"279","2015-2018",56,0.0657307226461042,"Channel 12, Station 4 + 09","Control"
"280","2018-2021",56,-0.107010125252343,"Channel 12, Station 4 + 09","Control"
"281","2012-2013",57,-0.329768437594106,"Channel 12, Station 4 + 56","Control"
"282","2013-2014",57,0.14800599107471,"Channel 12, Station 4 + 56","Control"
"283","2014-2015",57,-0.0831005215720715,"Channel 12, Station 4 + 56","Control"
"284","2015-2018",57,0.00879064405712573,"Channel 12, Station 4 + 56","Control"
"285","2018-2021",57,0.273677721537449,"Channel 12, Station 4 + 56","Control"
"286","2012-2013",58,NA,"Channel 12, Station 4 + 65","Control"
"287","2013-2014",58,NA,"Channel 12, Station 4 + 65","Control"
"288","2014-2015",58,-1.23674548200475,"Channel 12, Station 4 + 65","Control"
"289","2015-2018",58,0.116506891597838,"Channel 12, Station 4 + 65","Control"
"290","2018-2021",58,0.0150641109305823,"Channel 12, Station 4 + 65","Control"
"291","2012-2013",59,-0.518603852536336,"Channel 12, Station 5 + 13","Control"
"292","2013-2014",59,0.534702530793436,"Channel 12, Station 5 + 13","Control"
"293","2014-2015",59,-0.394401143201755,"Channel 12, Station 5 + 13","Control"
"294","2015-2018",59,0.104590652573466,"Channel 12, Station 5 + 13","Control"
"295","2018-2021",59,-0.0435460502915193,"Channel 12, Station 5 + 13","Control"
"296","2012-2013",60,-0.0756080607947513,"Channel 12, Station 5 + 48","Control"
"297","2013-2014",60,0.450608856851138,"Channel 12, Station 5 + 48","Control"
"298","2014-2015",60,-0.392857341955844,"Channel 12, Station 5 + 48","Control"
"299","2015-2018",60,0.0189974242003424,"Channel 12, Station 5 + 48","Control"
"300","2018-2021",60,0.0109285225633261,"Channel 12, Station 5 + 48","Control"
"301","2012-2013",61,-0.0462781795106148,"Channel 12, Station 6 + 30","Control"
"302","2013-2014",61,0.707807725795708,"Channel 12, Station 6 + 30","Control"
"303","2014-2015",61,-0.428968230375735,"Channel 12, Station 6 + 30","Control"
"304","2015-2018",61,-0.00275899204807252,"Channel 12, Station 6 + 30","Control"
"305","2018-2021",61,-0.156559032072245,"Channel 12, Station 6 + 30","Control"
"306","2012-2013",62,0.0128805184679059,"Channel 12, Station 6 + 93","Control"
"307","2013-2014",62,-0.158122186294856,"Channel 12, Station 6 + 93","Control"
"308","2014-2015",62,-0.427121100312883,"Channel 12, Station 6 + 93","Control"
"309","2015-2018",62,0.127718843727174,"Channel 12, Station 6 + 93","Control"
"310","2018-2021",62,0.0448429261192626,"Channel 12, Station 6 + 93","Control"
