"Channel","Station","Year","channel.trt","station.trt","shan"
"Channel 13","Station 1 + 11.5 BAF",2012-11-01,"Channel 13: In-channel treatment","Baffle",0.938687668440487
"Channel 13","Station 1 + 11.5 BAF",2013-11-01,"Channel 13: In-channel treatment","Baffle",0.202080078694975
"Channel 13","Station 1 + 11.5 BAF",2014-11-01,"Channel 13: In-channel treatment","Baffle",0.73274718391642
"Channel 13","Station 1 + 11.5 BAF",2015-11-01,"Channel 13: In-channel treatment","Baffle",1.45072519756097
"Channel 13","Station 1 + 11.5 BAF",2018-11-01,"Channel 13: In-channel treatment","Baffle",1.18869762678396
"Channel 13","Station 1 + 11.5 BAF",2021-11-01,"Channel 13: In-channel treatment","Baffle",0.838931707576627
"Channel 13","Station 1 + 38.5 ORD",2012-11-01,"Channel 13: In-channel treatment","One station dam",0.530211318198538
"Channel 13","Station 1 + 38.5 ORD",2013-11-01,"Channel 13: In-channel treatment","One station dam",0.63772474308719
"Channel 13","Station 1 + 38.5 ORD",2014-11-01,"Channel 13: In-channel treatment","One station dam",0.351980099310882
"Channel 13","Station 1 + 38.5 ORD",2015-11-01,"Channel 13: In-channel treatment","One station dam",0.924304814090121
"Channel 13","Station 1 + 38.5 ORD",2018-11-01,"Channel 13: In-channel treatment","One station dam",0.713077593650094
"Channel 13","Station 1 + 38.5 ORD",2021-11-01,"Channel 13: In-channel treatment","One station dam",1.86529934695147
"Channel 13","Station 1 + 71 BAF",2012-11-01,"Channel 13: In-channel treatment","Baffle",0.40404501056216
"Channel 13","Station 1 + 71 BAF",2013-11-01,"Channel 13: In-channel treatment","Baffle",0.568894036914716
"Channel 13","Station 1 + 71 BAF",2014-11-01,"Channel 13: In-channel treatment","Baffle",0.831993353887328
"Channel 13","Station 1 + 71 BAF",2015-11-01,"Channel 13: In-channel treatment","Baffle",0.619644983309927
"Channel 13","Station 1 + 71 BAF",2018-11-01,"Channel 13: In-channel treatment","Baffle",1.29174231220931
"Channel 13","Station 1 + 71 BAF",2021-11-01,"Channel 13: In-channel treatment","Baffle",0.293992247305323
"Channel 13","Station 1 + 77 ORD",2012-11-01,"Channel 13: In-channel treatment","One station dam",0.531877173814613
"Channel 13","Station 1 + 77 ORD",2014-11-01,"Channel 13: In-channel treatment","One station dam",0.475534452863528
"Channel 13","Station 1 + 77 ORD",2015-11-01,"Channel 13: In-channel treatment","One station dam",0.904984024871426
"Channel 13","Station 1 + 77 ORD",2018-11-01,"Channel 13: In-channel treatment","One station dam",0.69327756381781
"Channel 13","Station 1 + 77 ORD",2021-11-01,"Channel 13: In-channel treatment","One station dam",1.1501516687742
"Channel 13","Station 1 + 99 ORD",2012-11-01,"Channel 13: In-channel treatment","One station dam",1.62212250664874
"Channel 13","Station 1 + 99 ORD",2013-11-01,"Channel 13: In-channel treatment","One station dam",0.674048808252115
"Channel 13","Station 1 + 99 ORD",2014-11-01,"Channel 13: In-channel treatment","One station dam",1.4436325396229
"Channel 13","Station 1 + 99 ORD",2015-11-01,"Channel 13: In-channel treatment","One station dam",1.54146835124718
"Channel 13","Station 1 + 99 ORD",2018-11-01,"Channel 13: In-channel treatment","One station dam",1.42069600480959
"Channel 13","Station 1 + 99 ORD",2021-11-01,"Channel 13: In-channel treatment","One station dam",1.11687948831206
"Channel 13","Station 2 + 16 BAF",2012-11-01,"Channel 13: In-channel treatment","Baffle",0.819745032385005
"Channel 13","Station 2 + 16 BAF",2013-11-01,"Channel 13: In-channel treatment","Baffle",1.23399812996944
"Channel 13","Station 2 + 16 BAF",2014-11-01,"Channel 13: In-channel treatment","Baffle",0.516571915210404
"Channel 13","Station 2 + 16 BAF",2015-11-01,"Channel 13: In-channel treatment","Baffle",1.23865751545302
"Channel 13","Station 2 + 16 BAF",2018-11-01,"Channel 13: In-channel treatment","Baffle",1.31440206997528
"Channel 13","Station 2 + 16 BAF",2021-11-01,"Channel 13: In-channel treatment","Baffle",0.78211590385291
"Channel 13","Station 2 + 57 ORD",2012-11-01,"Channel 13: In-channel treatment","One station dam",1.51778910053798
"Channel 13","Station 2 + 57 ORD",2013-11-01,"Channel 13: In-channel treatment","One station dam",0.650794059626186
"Channel 13","Station 2 + 57 ORD",2014-11-01,"Channel 13: In-channel treatment","One station dam",1.29556121942049
"Channel 13","Station 2 + 57 ORD",2015-11-01,"Channel 13: In-channel treatment","One station dam",1.42993104624535
"Channel 13","Station 2 + 57 ORD",2018-11-01,"Channel 13: In-channel treatment","One station dam",1.87587505943289
"Channel 13","Station 2 + 57 ORD",2021-11-01,"Channel 13: In-channel treatment","One station dam",1.09777928203329
"Channel 13","Station 2 + 67 BAF",2012-11-01,"Channel 13: In-channel treatment","Baffle",1.70784650332993
"Channel 13","Station 2 + 67 BAF",2013-11-01,"Channel 13: In-channel treatment","Baffle",1.46451803526976
"Channel 13","Station 2 + 67 BAF",2014-11-01,"Channel 13: In-channel treatment","Baffle",1.63267922091521
"Channel 13","Station 2 + 67 BAF",2015-11-01,"Channel 13: In-channel treatment","Baffle",1.18349090801845
"Channel 13","Station 2 + 67 BAF",2018-11-01,"Channel 13: In-channel treatment","Baffle",1.56657234670319
"Channel 13","Station 2 + 67 BAF",2021-11-01,"Channel 13: In-channel treatment","Baffle",0.750033823661461
"Channel 13","Station 3 + 09 ORD",2012-11-01,"Channel 13: In-channel treatment","One station dam",1.23382636247314
"Channel 13","Station 3 + 09 ORD",2013-11-01,"Channel 13: In-channel treatment","One station dam",1.5126942745706
"Channel 13","Station 3 + 09 ORD",2014-11-01,"Channel 13: In-channel treatment","One station dam",1.21656814384571
"Channel 13","Station 3 + 09 ORD",2015-11-01,"Channel 13: In-channel treatment","One station dam",1.3523857193945
"Channel 13","Station 3 + 09 ORD",2018-11-01,"Channel 13: In-channel treatment","One station dam",1.35934949570294
"Channel 13","Station 3 + 09 ORD",2021-11-01,"Channel 13: In-channel treatment","One station dam",0.745077478670354
"Channel 13","Station 3 + 31 BAF",2012-11-01,"Channel 13: In-channel treatment","Baffle",0.623351776409872
"Channel 13","Station 3 + 31 BAF",2013-11-01,"Channel 13: In-channel treatment","Baffle",0.850610183780465
"Channel 13","Station 3 + 31 BAF",2014-11-01,"Channel 13: In-channel treatment","Baffle",0.302704540976598
"Channel 13","Station 3 + 31 BAF",2015-11-01,"Channel 13: In-channel treatment","Baffle",0.658794566013312
"Channel 13","Station 3 + 31 BAF",2018-11-01,"Channel 13: In-channel treatment","Baffle",1.35392167691237
"Channel 13","Station 3 + 31 BAF",2021-11-01,"Channel 13: In-channel treatment","Baffle",0.919994692225167
"Channel 13","Station 3 + 65 ORD",2012-11-01,"Channel 13: In-channel treatment","One station dam",1.22452298898839
"Channel 13","Station 3 + 65 ORD",2013-11-01,"Channel 13: In-channel treatment","One station dam",1.09409070351643
"Channel 13","Station 3 + 65 ORD",2014-11-01,"Channel 13: In-channel treatment","One station dam",0.998383121674852
"Channel 13","Station 3 + 65 ORD",2015-11-01,"Channel 13: In-channel treatment","One station dam",1.06461735003661
"Channel 13","Station 3 + 65 ORD",2018-11-01,"Channel 13: In-channel treatment","One station dam",1.05860934420555
"Channel 13","Station 3 + 65 ORD",2021-11-01,"Channel 13: In-channel treatment","One station dam",1.04135253095815
"Channel 13","Station 3 + 95.5 ORD",2012-11-01,"Channel 13: In-channel treatment","One station dam",1.19838115978729
"Channel 13","Station 3 + 95.5 ORD",2013-11-01,"Channel 13: In-channel treatment","One station dam",0.938073682038703
"Channel 13","Station 3 + 95.5 ORD",2014-11-01,"Channel 13: In-channel treatment","One station dam",1.20434806279692
"Channel 13","Station 3 + 95.5 ORD",2015-11-01,"Channel 13: In-channel treatment","One station dam",1.23504908639663
"Channel 13","Station 3 + 95.5 ORD",2018-11-01,"Channel 13: In-channel treatment","One station dam",1.43744278194384
"Channel 13","Station 3 + 95.5 ORD",2021-11-01,"Channel 13: In-channel treatment","One station dam",1.27741165861984
"Channel 13","Station 4 + 14.5 BAF",2012-11-01,"Channel 13: In-channel treatment","Baffle",1.53310253406705
"Channel 13","Station 4 + 14.5 BAF",2013-11-01,"Channel 13: In-channel treatment","Baffle",0.987485930953259
"Channel 13","Station 4 + 14.5 BAF",2014-11-01,"Channel 13: In-channel treatment","Baffle",1.39484562291473
"Channel 13","Station 4 + 14.5 BAF",2015-11-01,"Channel 13: In-channel treatment","Baffle",1.5879052390308
"Channel 13","Station 4 + 14.5 BAF",2018-11-01,"Channel 13: In-channel treatment","Baffle",1.29093406019185
"Channel 13","Station 4 + 14.5 BAF",2021-11-01,"Channel 13: In-channel treatment","Baffle",1.08434985128518
"Channel 13","Station 4 + 36 ORD",2012-11-01,"Channel 13: In-channel treatment","One station dam",1.13925868038684
"Channel 13","Station 4 + 36 ORD",2013-11-01,"Channel 13: In-channel treatment","One station dam",1.52842717358454
"Channel 13","Station 4 + 36 ORD",2014-11-01,"Channel 13: In-channel treatment","One station dam",1.23612682846721
"Channel 13","Station 4 + 36 ORD",2015-11-01,"Channel 13: In-channel treatment","One station dam",1.6729720342966
"Channel 13","Station 4 + 36 ORD",2018-11-01,"Channel 13: In-channel treatment","One station dam",1.73350112782725
"Channel 13","Station 4 + 36 ORD",2021-11-01,"Channel 13: In-channel treatment","One station dam",2.17428215118665
"Channel 13","Station 4 + 50 BAF",2012-11-01,"Channel 13: In-channel treatment","Baffle",1.15704409450081
"Channel 13","Station 4 + 50 BAF",2013-11-01,"Channel 13: In-channel treatment","Baffle",1.14024696542839
"Channel 13","Station 4 + 50 BAF",2014-11-01,"Channel 13: In-channel treatment","Baffle",1.02923342641013
"Channel 13","Station 4 + 50 BAF",2015-11-01,"Channel 13: In-channel treatment","Baffle",1.37477298524537
"Channel 13","Station 4 + 50 BAF",2018-11-01,"Channel 13: In-channel treatment","Baffle",1.18995332298353
"Channel 13","Station 4 + 50 BAF",2021-11-01,"Channel 13: In-channel treatment","Baffle",1.89425354311204
"Channel 13","Station 4 + 78 ORD",2012-11-01,"Channel 13: In-channel treatment","One station dam",1.93709352292395
"Channel 13","Station 4 + 78 ORD",2014-11-01,"Channel 13: In-channel treatment","One station dam",1.88909725382312
"Channel 13","Station 4 + 78 ORD",2015-11-01,"Channel 13: In-channel treatment","One station dam",1.70135294604941
"Channel 13","Station 4 + 78 ORD",2018-11-01,"Channel 13: In-channel treatment","One station dam",1.95658959145322
"Channel 13","Station 4 + 78 ORD",2021-11-01,"Channel 13: In-channel treatment","One station dam",1.53492776695634
"Channel 19","Station 01 + 04",2012-11-01,"Channel 19: Upland treatment","No treatment",1.51291806829498
"Channel 19","Station 01 + 04",2013-11-01,"Channel 19: Upland treatment","No treatment",1.14140085174175
"Channel 19","Station 01 + 04",2015-11-01,"Channel 19: Upland treatment","No treatment",1.53756372698086
"Channel 19","Station 01 + 04",2018-11-01,"Channel 19: Upland treatment","No treatment",1.22319364752286
"Channel 19","Station 01 + 04",2021-11-01,"Channel 19: Upland treatment","No treatment",1.19330248869977
"Channel 19","Station 02 + 04",2013-11-01,"Channel 19: Upland treatment","No treatment",1.78222253398608
"Channel 19","Station 02 + 04",2014-11-01,"Channel 19: Upland treatment","No treatment",1.4266972549721
"Channel 19","Station 02 + 04",2015-11-01,"Channel 19: Upland treatment","No treatment",1.40302935457778
"Channel 19","Station 02 + 04",2018-11-01,"Channel 19: Upland treatment","No treatment",1.40518230461281
"Channel 19","Station 02 + 04",2021-11-01,"Channel 19: Upland treatment","No treatment",1.52358818235853
"Channel 19","Station 02 + 52",2012-11-01,"Channel 19: Upland treatment","No treatment",1.39826090540909
"Channel 19","Station 02 + 52",2013-11-01,"Channel 19: Upland treatment","No treatment",1.10676534635869
"Channel 19","Station 02 + 52",2014-11-01,"Channel 19: Upland treatment","No treatment",1.46589206941016
"Channel 19","Station 02 + 52",2015-11-01,"Channel 19: Upland treatment","No treatment",1.36681950943104
"Channel 19","Station 02 + 52",2018-11-01,"Channel 19: Upland treatment","No treatment",1.51653368307205
"Channel 19","Station 02 + 52",2021-11-01,"Channel 19: Upland treatment","No treatment",1.48975124654174
"Channel 19","Station 03 + 63",2012-11-01,"Channel 19: Upland treatment","No treatment",1.37359298744843
"Channel 19","Station 03 + 63",2013-11-01,"Channel 19: Upland treatment","No treatment",1.1810588188159
"Channel 19","Station 03 + 63",2014-11-01,"Channel 19: Upland treatment","No treatment",1.13422465433872
"Channel 19","Station 03 + 63",2015-11-01,"Channel 19: Upland treatment","No treatment",0.885746903196978
"Channel 19","Station 03 + 63",2018-11-01,"Channel 19: Upland treatment","No treatment",1.23517082071349
"Channel 19","Station 03 + 63",2021-11-01,"Channel 19: Upland treatment","No treatment",0.869868013195642
"Channel 19","Station 03 + 98",2012-11-01,"Channel 19: Upland treatment","No treatment",1.84159238795695
"Channel 19","Station 03 + 98",2013-11-01,"Channel 19: Upland treatment","No treatment",1.79921416460599
"Channel 19","Station 03 + 98",2014-11-01,"Channel 19: Upland treatment","No treatment",1.91021906890653
"Channel 19","Station 03 + 98",2015-11-01,"Channel 19: Upland treatment","No treatment",1.83296537912484
"Channel 19","Station 03 + 98",2018-11-01,"Channel 19: Upland treatment","No treatment",1.69070325951901
"Channel 19","Station 03 + 98",2021-11-01,"Channel 19: Upland treatment","No treatment",1.4415106860177
"Channel 19","Station 05 + 00",2012-11-01,"Channel 19: Upland treatment","No treatment",1.48208355200784
"Channel 19","Station 05 + 00",2013-11-01,"Channel 19: Upland treatment","No treatment",1.1691821422793
"Channel 19","Station 05 + 00",2014-11-01,"Channel 19: Upland treatment","No treatment",1.19498285487451
"Channel 19","Station 05 + 00",2015-11-01,"Channel 19: Upland treatment","No treatment",0.996037225790972
"Channel 19","Station 05 + 00",2018-11-01,"Channel 19: Upland treatment","No treatment",0.995677767718059
"Channel 19","Station 05 + 00",2021-11-01,"Channel 19: Upland treatment","No treatment",1.37865022633255
"Channel 19","Station 05 + 09",2012-11-01,"Channel 19: Upland treatment","No treatment",0.992781225645323
"Channel 19","Station 05 + 09",2013-11-01,"Channel 19: Upland treatment","No treatment",0.519957588035119
"Channel 19","Station 05 + 09",2014-11-01,"Channel 19: Upland treatment","No treatment",1.15599017805723
"Channel 19","Station 05 + 09",2015-11-01,"Channel 19: Upland treatment","No treatment",1.19413197612428
"Channel 19","Station 05 + 09",2018-11-01,"Channel 19: Upland treatment","No treatment",0.784248151759372
"Channel 19","Station 05 + 09",2021-11-01,"Channel 19: Upland treatment","No treatment",1.20685987919237
"Channel 19","Station 05 + 62",2012-11-01,"Channel 19: Upland treatment","No treatment",1.53468458568875
"Channel 19","Station 05 + 62",2013-11-01,"Channel 19: Upland treatment","No treatment",1.2884094283585
"Channel 19","Station 05 + 62",2014-11-01,"Channel 19: Upland treatment","No treatment",1.45570285740444
"Channel 19","Station 05 + 62",2015-11-01,"Channel 19: Upland treatment","No treatment",1.4513973854146
"Channel 19","Station 05 + 62",2018-11-01,"Channel 19: Upland treatment","No treatment",0.756323875425337
"Channel 19","Station 05 + 62",2021-11-01,"Channel 19: Upland treatment","No treatment",0.555870904111586
"Channel 19","Station 06 + 13",2012-11-01,"Channel 19: Upland treatment","No treatment",1.39986850250916
"Channel 19","Station 06 + 13",2013-11-01,"Channel 19: Upland treatment","No treatment",1.04541806585257
"Channel 19","Station 06 + 13",2014-11-01,"Channel 19: Upland treatment","No treatment",1.32654702831812
"Channel 19","Station 06 + 13",2015-11-01,"Channel 19: Upland treatment","No treatment",0.75778817583822
"Channel 19","Station 06 + 13",2018-11-01,"Channel 19: Upland treatment","No treatment",1.10807274121959
"Channel 19","Station 06 + 13",2021-11-01,"Channel 19: Upland treatment","No treatment",0.345596207246175
"Channel 19","Station 06 + 97",2012-11-01,"Channel 19: Upland treatment","No treatment",1.25507700407645
"Channel 19","Station 06 + 97",2013-11-01,"Channel 19: Upland treatment","No treatment",0.129831338210192
"Channel 19","Station 06 + 97",2014-11-01,"Channel 19: Upland treatment","No treatment",0.519580807272501
"Channel 19","Station 06 + 97",2015-11-01,"Channel 19: Upland treatment","No treatment",0.936699077339319
"Channel 19","Station 06 + 97",2018-11-01,"Channel 19: Upland treatment","No treatment",0.171512123965972
"Channel 19","Station 06 + 97",2021-11-01,"Channel 19: Upland treatment","No treatment",1.26236402841407
"Channel 19","Station 07 + 30",2012-11-01,"Channel 19: Upland treatment","No treatment",0.895268407757062
"Channel 19","Station 07 + 30",2013-11-01,"Channel 19: Upland treatment","No treatment",0.717265633456969
"Channel 19","Station 07 + 30",2014-11-01,"Channel 19: Upland treatment","No treatment",1.00922879193575
"Channel 19","Station 07 + 30",2015-11-01,"Channel 19: Upland treatment","No treatment",0.801818552543337
"Channel 19","Station 07 + 30",2018-11-01,"Channel 19: Upland treatment","No treatment",0.852992779035129
"Channel 19","Station 07 + 30",2021-11-01,"Channel 19: Upland treatment","No treatment",1.49641593494014
"Channel 19","Station 07 + 50",2012-11-01,"Channel 19: Upland treatment","No treatment",1.1011129879922
"Channel 19","Station 07 + 50",2013-11-01,"Channel 19: Upland treatment","No treatment",0.315943299649481
"Channel 19","Station 07 + 50",2014-11-01,"Channel 19: Upland treatment","No treatment",0.840115440210303
"Channel 19","Station 07 + 50",2015-11-01,"Channel 19: Upland treatment","No treatment",0.884790168876671
"Channel 19","Station 07 + 50",2018-11-01,"Channel 19: Upland treatment","No treatment",1.38926401874153
"Channel 19","Station 07 + 50",2021-11-01,"Channel 19: Upland treatment","No treatment",1.44480233286115
"Channel 19","Station 07 + 97",2012-11-01,"Channel 19: Upland treatment","No treatment",1.78850303469189
"Channel 19","Station 07 + 97",2013-11-01,"Channel 19: Upland treatment","No treatment",1.43332371941839
"Channel 19","Station 07 + 97",2014-11-01,"Channel 19: Upland treatment","No treatment",1.22532975348059
"Channel 19","Station 07 + 97",2015-11-01,"Channel 19: Upland treatment","No treatment",1.0924520511059
"Channel 19","Station 07 + 97",2018-11-01,"Channel 19: Upland treatment","No treatment",1.22970202764227
"Channel 19","Station 07 + 97",2021-11-01,"Channel 19: Upland treatment","No treatment",1.38485410685445
"Channel 19","Station 09 + 05",2012-11-01,"Channel 19: Upland treatment","No treatment",1.54927985710219
"Channel 19","Station 09 + 05",2013-11-01,"Channel 19: Upland treatment","No treatment",1.33503300815969
"Channel 19","Station 09 + 05",2014-11-01,"Channel 19: Upland treatment","No treatment",1.18595123471516
"Channel 19","Station 09 + 05",2015-11-01,"Channel 19: Upland treatment","No treatment",1.52574184449282
"Channel 19","Station 09 + 05",2018-11-01,"Channel 19: Upland treatment","No treatment",1.7540105996956
"Channel 19","Station 09 + 05",2021-11-01,"Channel 19: Upland treatment","No treatment",1.62438279597005
"Channel 19","Station 09 + 26",2012-11-01,"Channel 19: Upland treatment","No treatment",1.31130346977156
"Channel 19","Station 09 + 26",2013-11-01,"Channel 19: Upland treatment","No treatment",1.39086061159963
"Channel 19","Station 09 + 26",2014-11-01,"Channel 19: Upland treatment","No treatment",1.98662423928469
"Channel 19","Station 09 + 26",2015-11-01,"Channel 19: Upland treatment","No treatment",1.48541282773436
"Channel 19","Station 09 + 26",2018-11-01,"Channel 19: Upland treatment","No treatment",1.7995129285131
"Channel 19","Station 09 + 26",2021-11-01,"Channel 19: Upland treatment","No treatment",1.5634012540792
"Channel 19","Station 09 + 68",2012-11-01,"Channel 19: Upland treatment","No treatment",0.455279016373587
"Channel 19","Station 09 + 68",2013-11-01,"Channel 19: Upland treatment","No treatment",1.62237811833743
"Channel 19","Station 09 + 68",2014-11-01,"Channel 19: Upland treatment","No treatment",1.69198615089008
"Channel 19","Station 09 + 68",2015-11-01,"Channel 19: Upland treatment","No treatment",1.33939424903897
"Channel 19","Station 09 + 68",2018-11-01,"Channel 19: Upland treatment","No treatment",1.58996192620754
"Channel 19","Station 09 + 68",2021-11-01,"Channel 19: Upland treatment","No treatment",1.73724345501681
