"Channel","Station","Year","station.trt","channel.trt","Functional","Cover"
"Channel 12","Station 3 + 93","2012-11-01","No treatment","Channel 12: No treatment","Perennial forb",3.08333333333333
"Channel 12","Station 3 + 93","2012-11-01","No treatment","Channel 12: No treatment","Perennial grass",13.5
"Channel 12","Station 3 + 93","2012-11-01","No treatment","Channel 12: No treatment","Shrub",26.25
"Channel 12","Station 3 + 93","2012-11-01","No treatment","Channel 12: No treatment","Tree",46.6666666666667
"Channel 12","Station 3 + 93","2013-11-01","No treatment","Channel 12: No treatment","Annual grass",0.25
"Channel 12","Station 3 + 93","2013-11-01","No treatment","Channel 12: No treatment","Perennial forb",0.0833333333333333
"Channel 12","Station 3 + 93","2013-11-01","No treatment","Channel 12: No treatment","Perennial grass",11.6666666666667
"Channel 12","Station 3 + 93","2013-11-01","No treatment","Channel 12: No treatment","Shrub",24.1666666666667
"Channel 12","Station 3 + 93","2013-11-01","No treatment","Channel 12: No treatment","Tree",38
"Channel 12","Station 3 + 93","2014-11-01","No treatment","Channel 12: No treatment","Annual grass",1
"Channel 12","Station 3 + 93","2014-11-01","No treatment","Channel 12: No treatment","Perennial grass",5.125
"Channel 12","Station 3 + 93","2014-11-01","No treatment","Channel 12: No treatment","Shrub",16.875
"Channel 12","Station 3 + 93","2014-11-01","No treatment","Channel 12: No treatment","Tree",3.75
"Channel 12","Station 3 + 93","2015-11-01","No treatment","Channel 12: No treatment","Perennial grass",12.625
"Channel 12","Station 3 + 93","2015-11-01","No treatment","Channel 12: No treatment","Shrub",16.875
"Channel 12","Station 3 + 93","2015-11-01","No treatment","Channel 12: No treatment","Tree",9.625
"Channel 12","Station 3 + 93","2018-11-01","No treatment","Channel 12: No treatment","Annual forb",0.125
"Channel 12","Station 3 + 93","2018-11-01","No treatment","Channel 12: No treatment","Perennial forb",1.125
"Channel 12","Station 3 + 93","2018-11-01","No treatment","Channel 12: No treatment","Perennial grass",12.5
"Channel 12","Station 3 + 93","2018-11-01","No treatment","Channel 12: No treatment","Shrub",16.875
"Channel 12","Station 3 + 93","2018-11-01","No treatment","Channel 12: No treatment","Tree",19.5
"Channel 12","Station 3 + 93","2021-11-01","No treatment","Channel 12: No treatment","Annual grass",5
"Channel 12","Station 3 + 93","2021-11-01","No treatment","Channel 12: No treatment","Perennial forb",2
"Channel 12","Station 3 + 93","2021-11-01","No treatment","Channel 12: No treatment","Perennial grass",18.875
"Channel 12","Station 3 + 93","2021-11-01","No treatment","Channel 12: No treatment","Shrub",28.875
"Channel 12","Station 3 + 93","2021-11-01","No treatment","Channel 12: No treatment","Tree",33.875
"Channel 12","Station 4 + 00","2012-03-01","No treatment","Channel 12: No treatment","Tree",14.1666666666667
"Channel 12","Station 4 + 00","2012-11-01","No treatment","Channel 12: No treatment","Annual grass",0.291666666666667
"Channel 12","Station 4 + 00","2012-11-01","No treatment","Channel 12: No treatment","Perennial forb",2.25
"Channel 12","Station 4 + 00","2012-11-01","No treatment","Channel 12: No treatment","Perennial grass",11.25
"Channel 12","Station 4 + 00","2012-11-01","No treatment","Channel 12: No treatment","Shrub",3.41666666666667
"Channel 12","Station 4 + 00","2012-11-01","No treatment","Channel 12: No treatment","Tree",24.5833333333333
"Channel 12","Station 4 + 00","2013-11-01","No treatment","Channel 12: No treatment","Annual grass",9.45833333333333
"Channel 12","Station 4 + 00","2013-11-01","No treatment","Channel 12: No treatment","Perennial forb",3.41666666666667
"Channel 12","Station 4 + 00","2013-11-01","No treatment","Channel 12: No treatment","Perennial grass",6.5
"Channel 12","Station 4 + 00","2013-11-01","No treatment","Channel 12: No treatment","Shrub",15.0833333333333
"Channel 12","Station 4 + 00","2013-11-01","No treatment","Channel 12: No treatment","Tree",50.8333333333333
"Channel 12","Station 4 + 00","2014-11-01","No treatment","Channel 12: No treatment","Annual forb",0.125
"Channel 12","Station 4 + 00","2014-11-01","No treatment","Channel 12: No treatment","Annual grass",4.125
"Channel 12","Station 4 + 00","2014-11-01","No treatment","Channel 12: No treatment","Perennial forb",4.25
"Channel 12","Station 4 + 00","2014-11-01","No treatment","Channel 12: No treatment","Perennial grass",2.5
"Channel 12","Station 4 + 00","2014-11-01","No treatment","Channel 12: No treatment","Shrub",5
"Channel 12","Station 4 + 00","2014-11-01","No treatment","Channel 12: No treatment","Tree",46.25
"Channel 12","Station 4 + 00","2015-11-01","No treatment","Channel 12: No treatment","Annual grass",0.75
"Channel 12","Station 4 + 00","2015-11-01","No treatment","Channel 12: No treatment","Perennial forb",1.625
"Channel 12","Station 4 + 00","2015-11-01","No treatment","Channel 12: No treatment","Perennial grass",7.75
"Channel 12","Station 4 + 00","2015-11-01","No treatment","Channel 12: No treatment","Shrub",18.75
"Channel 12","Station 4 + 00","2015-11-01","No treatment","Channel 12: No treatment","Tree",50
"Channel 12","Station 4 + 00","2018-11-01","No treatment","Channel 12: No treatment","Perennial forb",2.125
"Channel 12","Station 4 + 00","2018-11-01","No treatment","Channel 12: No treatment","Perennial grass",23.5
"Channel 12","Station 4 + 00","2018-11-01","No treatment","Channel 12: No treatment","Shrub",13.125
"Channel 12","Station 4 + 00","2018-11-01","No treatment","Channel 12: No treatment","Tree",30.625
"Channel 12","Station 4 + 00","2021-11-01","No treatment","Channel 12: No treatment","Annual grass",1.5625
"Channel 12","Station 4 + 00","2021-11-01","No treatment","Channel 12: No treatment","Perennial forb",0.5
"Channel 12","Station 4 + 00","2021-11-01","No treatment","Channel 12: No treatment","Perennial grass",17.125
"Channel 12","Station 4 + 00","2021-11-01","No treatment","Channel 12: No treatment","Shrub",31.25
"Channel 12","Station 4 + 00","2021-11-01","No treatment","Channel 12: No treatment","Tree",46.25
"Channel 12","Station 4 + 09","2012-11-01","No treatment","Channel 12: No treatment","Annual forb",0.416666666666667
"Channel 12","Station 4 + 09","2012-11-01","No treatment","Channel 12: No treatment","Annual grass",0.0833333333333333
"Channel 12","Station 4 + 09","2012-11-01","No treatment","Channel 12: No treatment","Perennial forb",0.666666666666667
"Channel 12","Station 4 + 09","2012-11-01","No treatment","Channel 12: No treatment","Perennial grass",7.66666666666667
"Channel 12","Station 4 + 09","2012-11-01","No treatment","Channel 12: No treatment","Shrub",32.9166666666667
"Channel 12","Station 4 + 09","2012-11-01","No treatment","Channel 12: No treatment","Tree",14.1666666666667
"Channel 12","Station 4 + 09","2013-11-01","No treatment","Channel 12: No treatment","Annual grass",1.25
"Channel 12","Station 4 + 09","2013-11-01","No treatment","Channel 12: No treatment","Perennial forb",2.58333333333333
"Channel 12","Station 4 + 09","2013-11-01","No treatment","Channel 12: No treatment","Perennial grass",12.1666666666667
"Channel 12","Station 4 + 09","2013-11-01","No treatment","Channel 12: No treatment","Shrub",30.4166666666667
"Channel 12","Station 4 + 09","2013-11-01","No treatment","Channel 12: No treatment","Tree",16.75
"Channel 12","Station 4 + 09","2014-11-01","No treatment","Channel 12: No treatment","Annual forb",0.125
"Channel 12","Station 4 + 09","2014-11-01","No treatment","Channel 12: No treatment","Annual grass",1
"Channel 12","Station 4 + 09","2014-11-01","No treatment","Channel 12: No treatment","Perennial forb",0.75
"Channel 12","Station 4 + 09","2014-11-01","No treatment","Channel 12: No treatment","Perennial grass",2.375
"Channel 12","Station 4 + 09","2014-11-01","No treatment","Channel 12: No treatment","Shrub",17.625
"Channel 12","Station 4 + 09","2014-11-01","No treatment","Channel 12: No treatment","Tree",3.75
"Channel 12","Station 4 + 09","2015-11-01","No treatment","Channel 12: No treatment","Annual grass",0.125
"Channel 12","Station 4 + 09","2015-11-01","No treatment","Channel 12: No treatment","Perennial grass",11.5
"Channel 12","Station 4 + 09","2015-11-01","No treatment","Channel 12: No treatment","Shrub",21.25
"Channel 12","Station 4 + 09","2015-11-01","No treatment","Channel 12: No treatment","Tree",3.875
"Channel 12","Station 4 + 09","2018-11-01","No treatment","Channel 12: No treatment","Perennial forb",0.75
"Channel 12","Station 4 + 09","2018-11-01","No treatment","Channel 12: No treatment","Perennial grass",31.25
"Channel 12","Station 4 + 09","2018-11-01","No treatment","Channel 12: No treatment","Shrub",5.125
"Channel 12","Station 4 + 09","2018-11-01","No treatment","Channel 12: No treatment","Tree",3.75
"Channel 12","Station 4 + 09","2021-11-01","No treatment","Channel 12: No treatment","Annual grass",1.125
"Channel 12","Station 4 + 09","2021-11-01","No treatment","Channel 12: No treatment","Perennial forb",2.375
"Channel 12","Station 4 + 09","2021-11-01","No treatment","Channel 12: No treatment","Perennial grass",10.875
"Channel 12","Station 4 + 09","2021-11-01","No treatment","Channel 12: No treatment","Shrub",5.125
"Channel 12","Station 4 + 09","2021-11-01","No treatment","Channel 12: No treatment","Tree",3.75
"Channel 12","Station 4 + 56","2012-11-01","No treatment","Channel 12: No treatment","Perennial forb",2.16666666666667
"Channel 12","Station 4 + 56","2012-11-01","No treatment","Channel 12: No treatment","Perennial grass",11.3333333333333
"Channel 12","Station 4 + 56","2012-11-01","No treatment","Channel 12: No treatment","Shrub",25.5
"Channel 12","Station 4 + 56","2013-11-01","No treatment","Channel 12: No treatment","Annual grass",1.66666666666667
"Channel 12","Station 4 + 56","2013-11-01","No treatment","Channel 12: No treatment","Perennial forb",3.75
"Channel 12","Station 4 + 56","2013-11-01","No treatment","Channel 12: No treatment","Perennial grass",18.9166666666667
"Channel 12","Station 4 + 56","2013-11-01","No treatment","Channel 12: No treatment","Shrub",9.16666666666667
"Channel 12","Station 4 + 56","2013-11-01","No treatment","Channel 12: No treatment","Tree",13.3333333333333
"Channel 12","Station 4 + 56","2014-11-01","No treatment","Channel 12: No treatment","Annual grass",0.25
"Channel 12","Station 4 + 56","2014-11-01","No treatment","Channel 12: No treatment","Perennial forb",0.375
"Channel 12","Station 4 + 56","2014-11-01","No treatment","Channel 12: No treatment","Perennial grass",10.25
"Channel 12","Station 4 + 56","2014-11-01","No treatment","Channel 12: No treatment","Shrub",20.625
"Channel 12","Station 4 + 56","2015-11-01","No treatment","Channel 12: No treatment","Annual forb",0.125
"Channel 12","Station 4 + 56","2015-11-01","No treatment","Channel 12: No treatment","Perennial forb",0.875
"Channel 12","Station 4 + 56","2015-11-01","No treatment","Channel 12: No treatment","Perennial grass",17.75
"Channel 12","Station 4 + 56","2015-11-01","No treatment","Channel 12: No treatment","Shrub",12.5
"Channel 12","Station 4 + 56","2018-11-01","No treatment","Channel 12: No treatment","Perennial forb",0.5
"Channel 12","Station 4 + 56","2018-11-01","No treatment","Channel 12: No treatment","Perennial grass",22.875
"Channel 12","Station 4 + 56","2018-11-01","No treatment","Channel 12: No treatment","Shrub",21.875
"Channel 12","Station 4 + 56","2018-11-01","No treatment","Channel 12: No treatment","Tree",3.75
"Channel 12","Station 4 + 56","2021-11-01","No treatment","Channel 12: No treatment","Annual grass",10.375
"Channel 12","Station 4 + 56","2021-11-01","No treatment","Channel 12: No treatment","Perennial forb",0.875
"Channel 12","Station 4 + 56","2021-11-01","No treatment","Channel 12: No treatment","Perennial grass",5.625
"Channel 12","Station 4 + 56","2021-11-01","No treatment","Channel 12: No treatment","Shrub",32.5
"Channel 12","Station 4 + 65","2012-11-01","No treatment","Channel 12: No treatment","Perennial forb",0.5
"Channel 12","Station 4 + 65","2012-11-01","No treatment","Channel 12: No treatment","Perennial grass",15
"Channel 12","Station 4 + 65","2012-11-01","No treatment","Channel 12: No treatment","Shrub",13.8333333333333
"Channel 12","Station 4 + 65","2012-11-01","No treatment","Channel 12: No treatment","Tree",45
"Channel 12","Station 4 + 65","2014-11-01","No treatment","Channel 12: No treatment","Annual forb",0.125
"Channel 12","Station 4 + 65","2014-11-01","No treatment","Channel 12: No treatment","Annual grass",0.25
"Channel 12","Station 4 + 65","2014-11-01","No treatment","Channel 12: No treatment","Perennial grass",2.125
"Channel 12","Station 4 + 65","2014-11-01","No treatment","Channel 12: No treatment","Shrub",20
"Channel 12","Station 4 + 65","2015-11-01","No treatment","Channel 12: No treatment","Perennial forb",1.25
"Channel 12","Station 4 + 65","2015-11-01","No treatment","Channel 12: No treatment","Perennial grass",14.125
"Channel 12","Station 4 + 65","2015-11-01","No treatment","Channel 12: No treatment","Shrub",13.125
"Channel 12","Station 4 + 65","2018-11-01","No treatment","Channel 12: No treatment","Annual grass",0.375
"Channel 12","Station 4 + 65","2018-11-01","No treatment","Channel 12: No treatment","Perennial forb",1.125
"Channel 12","Station 4 + 65","2018-11-01","No treatment","Channel 12: No treatment","Perennial grass",12.75
"Channel 12","Station 4 + 65","2018-11-01","No treatment","Channel 12: No treatment","Shrub",26.25
"Channel 12","Station 4 + 65","2018-11-01","No treatment","Channel 12: No treatment","Tree",0.625
"Channel 12","Station 4 + 65","2021-11-01","No treatment","Channel 12: No treatment","Annual grass",1.375
"Channel 12","Station 4 + 65","2021-11-01","No treatment","Channel 12: No treatment","Perennial forb",0.875
"Channel 12","Station 4 + 65","2021-11-01","No treatment","Channel 12: No treatment","Perennial grass",12.125
"Channel 12","Station 4 + 65","2021-11-01","No treatment","Channel 12: No treatment","Shrub",31.25
"Channel 12","Station 4 + 65","2021-11-01","No treatment","Channel 12: No treatment","Tree",0.75
"Channel 12","Station 5 + 13","2012-11-01","No treatment","Channel 12: No treatment","Perennial forb",0.5
"Channel 12","Station 5 + 13","2012-11-01","No treatment","Channel 12: No treatment","Perennial grass",11.3333333333333
"Channel 12","Station 5 + 13","2012-11-01","No treatment","Channel 12: No treatment","Shrub",17.5
"Channel 12","Station 5 + 13","2013-11-01","No treatment","Channel 12: No treatment","Annual grass",1.41666666666667
"Channel 12","Station 5 + 13","2013-11-01","No treatment","Channel 12: No treatment","Perennial forb",5.41666666666667
"Channel 12","Station 5 + 13","2013-11-01","No treatment","Channel 12: No treatment","Perennial grass",13.4166666666667
"Channel 12","Station 5 + 13","2013-11-01","No treatment","Channel 12: No treatment","Shrub",24.6666666666667
"Channel 12","Station 5 + 13","2013-11-01","No treatment","Channel 12: No treatment","Tree",6.25
"Channel 12","Station 5 + 13","2014-11-01","No treatment","Channel 12: No treatment","Annual grass",0.125
"Channel 12","Station 5 + 13","2014-11-01","No treatment","Channel 12: No treatment","Perennial forb",1.125
"Channel 12","Station 5 + 13","2014-11-01","No treatment","Channel 12: No treatment","Perennial grass",15.5
"Channel 12","Station 5 + 13","2014-11-01","No treatment","Channel 12: No treatment","Shrub",18.125
