"PlotTimeID","Year","Channel","Station","station.trt","channel.trt","up.trt","inch.trt","Native","Cover"
7,"2012-11-01","Channel 12","Station 4 + 00","No treatment","Channel 12: No treatment",0,0,"Native",38.2083333333333
7,"2012-11-01","Channel 12","Station 4 + 00","No treatment","Channel 12: No treatment",0,0,"Unknown native status",0.0833333333333333
8,"2012-11-01","Channel 12","Station 4 + 09","No treatment","Channel 12: No treatment",0,0,"Invasive",1.75
8,"2012-11-01","Channel 12","Station 4 + 09","No treatment","Channel 12: No treatment",0,0,"Native",53.75
8,"2012-11-01","Channel 12","Station 4 + 09","No treatment","Channel 12: No treatment",0,0,"Unknown native status",0.416666666666667
9,"2012-11-01","Channel 12","Station 4 + 56","No treatment","Channel 12: No treatment",0,0,"Invasive",3.33333333333333
9,"2012-11-01","Channel 12","Station 4 + 56","No treatment","Channel 12: No treatment",0,0,"Native",35.6666666666667
10,"2012-11-01","Channel 12","Station 4 + 65","No treatment","Channel 12: No treatment",0,0,"Invasive",0.5
10,"2012-11-01","Channel 12","Station 4 + 65","No treatment","Channel 12: No treatment",0,0,"Native",73.8333333333333
11,"2012-11-01","Channel 12","Station 5 + 13","No treatment","Channel 12: No treatment",0,0,"Invasive",5.41666666666667
11,"2012-11-01","Channel 12","Station 5 + 13","No treatment","Channel 12: No treatment",0,0,"Native",23.8333333333333
11,"2012-11-01","Channel 12","Station 5 + 13","No treatment","Channel 12: No treatment",0,0,"Unknown native status",0.0833333333333333
12,"2012-11-01","Channel 12","Station 5 + 48","No treatment","Channel 12: No treatment",0,0,"Invasive",0.833333333333333
12,"2012-11-01","Channel 12","Station 5 + 48","No treatment","Channel 12: No treatment",0,0,"Native",39.1666666666667
12,"2012-11-01","Channel 12","Station 5 + 48","No treatment","Channel 12: No treatment",0,0,"Unknown native status",0.0833333333333333
13,"2012-11-01","Channel 12","Station 6 + 30","No treatment","Channel 12: No treatment",0,0,"Invasive",1.25
13,"2012-11-01","Channel 12","Station 6 + 30","No treatment","Channel 12: No treatment",0,0,"Native",64.6666666666667
13,"2012-11-01","Channel 12","Station 6 + 30","No treatment","Channel 12: No treatment",0,0,"Unknown native status",0.5
14,"2012-11-01","Channel 12","Station 6 + 93","No treatment","Channel 12: No treatment",0,0,"Invasive",0.5
14,"2012-11-01","Channel 12","Station 6 + 93","No treatment","Channel 12: No treatment",0,0,"Native",96.8333333333333
15,"2012-11-01","Channel 13","Station 1 + 11.5 BAF","Baffle","Channel 13: In-channel treatment",0,1,"Invasive",0.5
15,"2012-11-01","Channel 13","Station 1 + 11.5 BAF","Baffle","Channel 13: In-channel treatment",0,1,"Native",62.3333333333333
15,"2012-11-01","Channel 13","Station 1 + 11.5 BAF","Baffle","Channel 13: In-channel treatment",0,1,"Unknown native status",7.08333333333333
16,"2012-11-01","Channel 13","Station 1 + 38.5 ORD","One rock dam","Channel 13: In-channel treatment",0,1,"Invasive",0.166666666666667
16,"2012-11-01","Channel 13","Station 1 + 38.5 ORD","One rock dam","Channel 13: In-channel treatment",0,1,"Native",54.8333333333333
16,"2012-11-01","Channel 13","Station 1 + 38.5 ORD","One rock dam","Channel 13: In-channel treatment",0,1,"Unknown native status",0.0833333333333333
17,"2012-11-01","Channel 13","Station 1 + 71 BAF","Baffle","Channel 13: In-channel treatment",0,1,"Invasive",0.166666666666667
17,"2012-11-01","Channel 13","Station 1 + 71 BAF","Baffle","Channel 13: In-channel treatment",0,1,"Native",41.5833333333333
17,"2012-11-01","Channel 13","Station 1 + 71 BAF","Baffle","Channel 13: In-channel treatment",0,1,"Unknown native status",0.666666666666667
18,"2012-11-01","Channel 13","Station 1 + 77 ORD","One rock dam","Channel 13: In-channel treatment",0,1,"Invasive",0.583333333333333
18,"2012-11-01","Channel 13","Station 1 + 77 ORD","One rock dam","Channel 13: In-channel treatment",0,1,"Native",45.1666666666667
18,"2012-11-01","Channel 13","Station 1 + 77 ORD","One rock dam","Channel 13: In-channel treatment",0,1,"Unknown native status",0.666666666666667
19,"2012-11-01","Channel 13","Station 1 + 99 ORD","One rock dam","Channel 13: In-channel treatment",0,1,"Native",42.2916666666667
19,"2012-11-01","Channel 13","Station 1 + 99 ORD","One rock dam","Channel 13: In-channel treatment",0,1,"Unknown native status",0.583333333333333
20,"2012-11-01","Channel 13","Station 2 + 16 BAF","Baffle","Channel 13: In-channel treatment",0,1,"Invasive",2.5
20,"2012-11-01","Channel 13","Station 2 + 16 BAF","Baffle","Channel 13: In-channel treatment",0,1,"Native",78.9166666666667
20,"2012-11-01","Channel 13","Station 2 + 16 BAF","Baffle","Channel 13: In-channel treatment",0,1,"Unknown native status",0.0833333333333333
21,"2012-11-01","Channel 13","Station 2 + 57 ORD","One rock dam","Channel 13: In-channel treatment",0,1,"Invasive",0.0833333333333333
21,"2012-11-01","Channel 13","Station 2 + 57 ORD","One rock dam","Channel 13: In-channel treatment",0,1,"Native",21.8333333333333
21,"2012-11-01","Channel 13","Station 2 + 57 ORD","One rock dam","Channel 13: In-channel treatment",0,1,"Unknown native status",0.166666666666667
22,"2012-11-01","Channel 13","Station 2 + 67 BAF","Baffle","Channel 13: In-channel treatment",0,1,"Invasive",0.416666666666667
22,"2012-11-01","Channel 13","Station 2 + 67 BAF","Baffle","Channel 13: In-channel treatment",0,1,"Native",70.5833333333333
22,"2012-11-01","Channel 13","Station 2 + 67 BAF","Baffle","Channel 13: In-channel treatment",0,1,"Unknown native status",0.5
23,"2012-11-01","Channel 13","Station 3 + 09 ORD","One rock dam","Channel 13: In-channel treatment",0,1,"Invasive",0.666666666666667
23,"2012-11-01","Channel 13","Station 3 + 09 ORD","One rock dam","Channel 13: In-channel treatment",0,1,"Native",91.6666666666667
23,"2012-11-01","Channel 13","Station 3 + 09 ORD","One rock dam","Channel 13: In-channel treatment",0,1,"Unknown native status",3
24,"2012-11-01","Channel 13","Station 3 + 31 BAF","Baffle","Channel 13: In-channel treatment",0,1,"Native",36.25
24,"2012-11-01","Channel 13","Station 3 + 31 BAF","Baffle","Channel 13: In-channel treatment",0,1,"Unknown native status",16
25,"2012-11-01","Channel 13","Station 3 + 65 ORD","One rock dam","Channel 13: In-channel treatment",0,1,"Native",35.4166666666667
26,"2012-11-01","Channel 13","Station 3 + 95.5 ORD","One rock dam","Channel 13: In-channel treatment",0,1,"Invasive",0.0833333333333333
26,"2012-11-01","Channel 13","Station 3 + 95.5 ORD","One rock dam","Channel 13: In-channel treatment",0,1,"Native",37.5
26,"2012-11-01","Channel 13","Station 3 + 95.5 ORD","One rock dam","Channel 13: In-channel treatment",0,1,"Unknown native status",1.25
27,"2012-11-01","Channel 13","Station 4 + 14.5 BAF","Baffle","Channel 13: In-channel treatment",0,1,"Native",45.5833333333333
27,"2012-11-01","Channel 13","Station 4 + 14.5 BAF","Baffle","Channel 13: In-channel treatment",0,1,"Unknown native status",0.0833333333333333
28,"2012-11-01","Channel 13","Station 4 + 36 ORD","One rock dam","Channel 13: In-channel treatment",0,1,"Invasive",9.79166666666667
28,"2012-11-01","Channel 13","Station 4 + 36 ORD","One rock dam","Channel 13: In-channel treatment",0,1,"Native",49.9583333333333
29,"2012-11-01","Channel 13","Station 4 + 50 BAF","Baffle","Channel 13: In-channel treatment",0,1,"Invasive",5.72916666666667
29,"2012-11-01","Channel 13","Station 4 + 50 BAF","Baffle","Channel 13: In-channel treatment",0,1,"Native",75.6041666666667
29,"2012-11-01","Channel 13","Station 4 + 50 BAF","Baffle","Channel 13: In-channel treatment",0,1,"Unknown native status",2.58333333333333
30,"2012-11-01","Channel 13","Station 4 + 78 ORD","One rock dam","Channel 13: In-channel treatment",0,1,"Invasive",19.1666666666667
30,"2012-11-01","Channel 13","Station 4 + 78 ORD","One rock dam","Channel 13: In-channel treatment",0,1,"Native",55
31,"2012-11-01","Channel 19","Station 01 + 04","No treatment","Channel 19: Upland treatment",1,0,"Invasive",3.08333333333333
31,"2012-11-01","Channel 19","Station 01 + 04","No treatment","Channel 19: Upland treatment",1,0,"Native",89.6666666666667
31,"2012-11-01","Channel 19","Station 01 + 04","No treatment","Channel 19: Upland treatment",1,0,"Unknown native status",0.166666666666667
33,"2012-11-01","Channel 19","Station 02 + 52","No treatment","Channel 19: Upland treatment",1,0,"Invasive",0.416666666666667
33,"2012-11-01","Channel 19","Station 02 + 52","No treatment","Channel 19: Upland treatment",1,0,"Native",99.8333333333333
33,"2012-11-01","Channel 19","Station 02 + 52","No treatment","Channel 19: Upland treatment",1,0,"Unknown native status",0.833333333333333
34,"2012-11-01","Channel 19","Station 03 + 63","No treatment","Channel 19: Upland treatment",1,0,"Invasive",3.83333333333333
34,"2012-11-01","Channel 19","Station 03 + 63","No treatment","Channel 19: Upland treatment",1,0,"Native",99.75
34,"2012-11-01","Channel 19","Station 03 + 63","No treatment","Channel 19: Upland treatment",1,0,"Unknown native status",6.66666666666667
35,"2012-11-01","Channel 19","Station 03 + 98","No treatment","Channel 19: Upland treatment",1,0,"Invasive",9.16666666666667
35,"2012-11-01","Channel 19","Station 03 + 98","No treatment","Channel 19: Upland treatment",1,0,"Native",41.5833333333333
35,"2012-11-01","Channel 19","Station 03 + 98","No treatment","Channel 19: Upland treatment",1,0,"Unknown native status",0.25
36,"2012-11-01","Channel 19","Station 05 + 00","No treatment","Channel 19: Upland treatment",1,0,"Invasive",10
36,"2012-11-01","Channel 19","Station 05 + 00","No treatment","Channel 19: Upland treatment",1,0,"Native",51.1666666666667
36,"2012-11-01","Channel 19","Station 05 + 00","No treatment","Channel 19: Upland treatment",1,0,"Unknown native status",0.5
37,"2012-11-01","Channel 19","Station 05 + 09","No treatment","Channel 19: Upland treatment",1,0,"Native",71.3333333333333
37,"2012-11-01","Channel 19","Station 05 + 09","No treatment","Channel 19: Upland treatment",1,0,"Unknown native status",0.0833333333333333
38,"2012-11-01","Channel 19","Station 05 + 62","No treatment","Channel 19: Upland treatment",1,0,"Invasive",0.416666666666667
38,"2012-11-01","Channel 19","Station 05 + 62","No treatment","Channel 19: Upland treatment",1,0,"Native",15.6666666666667
38,"2012-11-01","Channel 19","Station 05 + 62","No treatment","Channel 19: Upland treatment",1,0,"Unknown native status",0.583333333333333
39,"2012-11-01","Channel 19","Station 06 + 13","No treatment","Channel 19: Upland treatment",1,0,"Invasive",0.416666666666667
39,"2012-11-01","Channel 19","Station 06 + 13","No treatment","Channel 19: Upland treatment",1,0,"Native",47.4166666666667
39,"2012-11-01","Channel 19","Station 06 + 13","No treatment","Channel 19: Upland treatment",1,0,"Unknown native status",0.583333333333333
40,"2012-11-01","Channel 19","Station 06 + 97","No treatment","Channel 19: Upland treatment",1,0,"Invasive",6.33333333333333
40,"2012-11-01","Channel 19","Station 06 + 97","No treatment","Channel 19: Upland treatment",1,0,"Native",69.4166666666667
40,"2012-11-01","Channel 19","Station 06 + 97","No treatment","Channel 19: Upland treatment",1,0,"Unknown native status",0.416666666666667
41,"2012-11-01","Channel 19","Station 07 + 30","No treatment","Channel 19: Upland treatment",1,0,"Invasive",1.41666666666667
41,"2012-11-01","Channel 19","Station 07 + 30","No treatment","Channel 19: Upland treatment",1,0,"Native",70.3333333333333
41,"2012-11-01","Channel 19","Station 07 + 30","No treatment","Channel 19: Upland treatment",1,0,"Unknown native status",27.0833333333333
42,"2012-11-01","Channel 19","Station 07 + 50","No treatment","Channel 19: Upland treatment",1,0,"Invasive",5.5
42,"2012-11-01","Channel 19","Station 07 + 50","No treatment","Channel 19: Upland treatment",1,0,"Native",53.5
42,"2012-11-01","Channel 19","Station 07 + 50","No treatment","Channel 19: Upland treatment",1,0,"Unknown native status",8.83333333333333
43,"2012-11-01","Channel 19","Station 07 + 97","No treatment","Channel 19: Upland treatment",1,0,"Invasive",6.66666666666667
43,"2012-11-01","Channel 19","Station 07 + 97","No treatment","Channel 19: Upland treatment",1,0,"Native",22.3333333333333
43,"2012-11-01","Channel 19","Station 07 + 97","No treatment","Channel 19: Upland treatment",1,0,"Unknown native status",0.5
44,"2012-11-01","Channel 19","Station 09 + 05","No treatment","Channel 19: Upland treatment",1,0,"Invasive",7.58333333333333
44,"2012-11-01","Channel 19","Station 09 + 05","No treatment","Channel 19: Upland treatment",1,0,"Native",51.4166666666667
44,"2012-11-01","Channel 19","Station 09 + 05","No treatment","Channel 19: Upland treatment",1,0,"Unknown native status",0.416666666666667
45,"2012-11-01","Channel 19","Station 09 + 26","No treatment","Channel 19: Upland treatment",1,0,"Invasive",11.25
45,"2012-11-01","Channel 19","Station 09 + 26","No treatment","Channel 19: Upland treatment",1,0,"Native",22.6666666666667
45,"2012-11-01","Channel 19","Station 09 + 26","No treatment","Channel 19: Upland treatment",1,0,"Unknown native status",0.166666666666667
46,"2012-11-01","Channel 19","Station 09 + 68","No treatment","Channel 19: Upland treatment",1,0,"Native",72.9166666666667
47,"2012-11-01","Channel 19","Station 10 + 98","No treatment","Channel 19: Upland treatment",1,0,"Invasive",0.916666666666667
47,"2012-11-01","Channel 19","Station 10 + 98","No treatment","Channel 19: Upland treatment",1,0,"Native",61.4166666666667
47,"2012-11-01","Channel 19","Station 10 + 98","No treatment","Channel 19: Upland treatment",1,0,"Unknown native status",0.833333333333333
48,"2012-11-01","Channel 21","Station 01 + 07.5 BAF","Baffle","Channel 21: In-channel treatment",0,1,"Invasive",5.25
48,"2012-11-01","Channel 21","Station 01 + 07.5 BAF","Baffle","Channel 21: In-channel treatment",0,1,"Native",23.3333333333333
48,"2012-11-01","Channel 21","Station 01 + 07.5 BAF","Baffle","Channel 21: In-channel treatment",0,1,"Unknown native status",8.41666666666667
49,"2012-11-01","Channel 21","Station 01 + 49 ORD","One rock dam","Channel 21: In-channel treatment",0,1,"Invasive",0.5
49,"2012-11-01","Channel 21","Station 01 + 49 ORD","One rock dam","Channel 21: In-channel treatment",0,1,"Native",26
49,"2012-11-01","Channel 21","Station 01 + 49 ORD","One rock dam","Channel 21: In-channel treatment",0,1,"Unknown native status",0.5
50,"2012-11-01","Channel 21","Station 02 + 15 BAF","Baffle","Channel 21: In-channel treatment",0,1,"Invasive",10.8333333333333
50,"2012-11-01","Channel 21","Station 02 + 15 BAF","Baffle","Channel 21: In-channel treatment",0,1,"Native",15.3333333333333
50,"2012-11-01","Channel 21","Station 02 + 15 BAF","Baffle","Channel 21: In-channel treatment",0,1,"Unknown native status",0.5
51,"2012-11-01","Channel 21","Station 03 + 80 BAF","Baffle","Channel 21: In-channel treatment",0,1,"Invasive",0.0833333333333333
51,"2012-11-01","Channel 21","Station 03 + 80 BAF","Baffle","Channel 21: In-channel treatment",0,1,"Native",27.3333333333333
52,"2012-11-01","Channel 21","Station 04 + 90 ORD","One rock dam","Channel 21: In-channel treatment",0,1,"Invasive",5
52,"2012-11-01","Channel 21","Station 04 + 90 ORD","One rock dam","Channel 21: In-channel treatment",0,1,"Native",3.83333333333333
53,"2012-11-01","Channel 21","Station 06 + 36 BAF","Baffle","Channel 21: In-channel treatment",0,1,"Invasive",0.583333333333333
53,"2012-11-01","Channel 21","Station 06 + 36 BAF","Baffle","Channel 21: In-channel treatment",0,1,"Native",19.6666666666667
53,"2012-11-01","Channel 21","Station 06 + 36 BAF","Baffle","Channel 21: In-channel treatment",0,1,"Unknown native status",0.75
54,"2012-11-01","Channel 21","Station 07 + 49.5 ORD","One rock dam","Channel 21: In-channel treatment",0,1,"Native",34.4166666666667
55,"2012-11-01","Channel 21","Station 07 + 66 BAF","Baffle","Channel 21: In-channel treatment",0,1,"Invasive",2.5
55,"2012-11-01","Channel 21","Station 07 + 66 BAF","Baffle","Channel 21: In-channel treatment",0,1,"Native",0.333333333333333
55,"2012-11-01","Channel 21","Station 07 + 66 BAF","Baffle","Channel 21: In-channel treatment",0,1,"Unknown native status",0.416666666666667
56,"2012-11-01","Channel 21","Station 08 + 62 BAF","Baffle","Channel 21: In-channel treatment",0,1,"Invasive",11.75
56,"2012-11-01","Channel 21","Station 08 + 62 BAF","Baffle","Channel 21: In-channel treatment",0,1,"Native",17.6666666666667
57,"2012-11-01","Channel 21","Station 09 + 99 ORD","One rock dam","Channel 21: In-channel treatment",0,1,"Invasive",1
57,"2012-11-01","Channel 21","Station 09 + 99 ORD","One rock dam","Channel 21: In-channel treatment",0,1,"Native",7.41666666666667
58,"2012-11-01","Channel 21","Station 10 + 13 BAF","Baffle","Channel 21: In-channel treatment",0,1,"Native",56.25
59,"2012-11-01","Channel 21","Station 11 + 12 ORD","One rock dam","Channel 21: In-channel treatment",0,1,"Invasive",9.25
59,"2012-11-01","Channel 21","Station 11 + 12 ORD","One rock dam","Channel 21: In-channel treatment",0,1,"Native",35.9166666666667
60,"2012-11-01","Channel 21","Station 11 + 24 BAF","Baffle","Channel 21: In-channel treatment",0,1,"Invasive",6.25
60,"2012-11-01","Channel 21","Station 11 + 24 BAF","Baffle","Channel 21: In-channel treatment",0,1,"Native",29.1666666666667
61,"2012-11-01","Channel 21","Station 11 + 63 ORD","One rock dam","Channel 21: In-channel treatment",0,1,"Invasive",4.16666666666667
61,"2012-11-01","Channel 21","Station 11 + 63 ORD","One rock dam","Channel 21: In-channel treatment",0,1,"Native",26.0833333333333
62,"2012-11-01","Channel 21","Station 11 + 73 BAF","Baffle","Channel 21: In-channel treatment",0,1,"Invasive",5
62,"2012-11-01","Channel 21","Station 11 + 73 BAF","Baffle","Channel 21: In-channel treatment",0,1,"Native",10.1666666666667
63,"2013-11-01","Channel 12","Station 1 + 04","No treatment","Channel 12: No treatment",0,0,"Invasive",0.5
63,"2013-11-01","Channel 12","Station 1 + 04","No treatment","Channel 12: No treatment",0,0,"Native",46.2083333333333
63,"2013-11-01","Channel 12","Station 1 + 04","No treatment","Channel 12: No treatment",0,0,"Unknown native status",1.04166666666667
64,"2013-11-01","Channel 12","Station 1 + 52","No treatment","Channel 12: No treatment",0,0,"Invasive",1.25
64,"2013-11-01","Channel 12","Station 1 + 52","No treatment","Channel 12: No treatment",0,0,"Native",50.3333333333333
64,"2013-11-01","Channel 12","Station 1 + 52","No treatment","Channel 12: No treatment",0,0,"Unknown native status",1.75
65,"2013-11-01","Channel 12","Station 1 + 83","No treatment","Channel 12: No treatment",0,0,"Invasive",0.833333333333333
65,"2013-11-01","Channel 12","Station 1 + 83","No treatment","Channel 12: No treatment",0,0,"Native",78.25
65,"2013-11-01","Channel 12","Station 1 + 83","No treatment","Channel 12: No treatment",0,0,"Unknown native status",1.66666666666667
66,"2013-11-01","Channel 12","Station 2 + 63","No treatment","Channel 12: No treatment",0,0,"Invasive",2.66666666666667
66,"2013-11-01","Channel 12","Station 2 + 63","No treatment","Channel 12: No treatment",0,0,"Native",70.5833333333333
66,"2013-11-01","Channel 12","Station 2 + 63","No treatment","Channel 12: No treatment",0,0,"Unknown native status",1.25
67,"2013-11-01","Channel 12","Station 2 + 98","No treatment","Channel 12: No treatment",0,0,"Invasive",5
67,"2013-11-01","Channel 12","Station 2 + 98","No treatment","Channel 12: No treatment",0,0,"Native",90.4166666666667
68,"2013-11-01","Channel 12","Station 3 + 93","No treatment","Channel 12: No treatment",0,0,"Native",74
68,"2013-11-01","Channel 12","Station 3 + 93","No treatment","Channel 12: No treatment",0,0,"Unknown native status",0.166666666666667
69,"2013-11-01","Channel 12","Station 4 + 00","No treatment","Channel 12: No treatment",0,0,"Invasive",3.5
69,"2013-11-01","Channel 12","Station 4 + 00","No treatment","Channel 12: No treatment",0,0,"Native",80.9583333333333
69,"2013-11-01","Channel 12","Station 4 + 00","No treatment","Channel 12: No treatment",0,0,"Unknown native status",0.833333333333333
70,"2013-11-01","Channel 12","Station 4 + 09","No treatment","Channel 12: No treatment",0,0,"Invasive",1.66666666666667
70,"2013-11-01","Channel 12","Station 4 + 09","No treatment","Channel 12: No treatment",0,0,"Native",61.5
71,"2013-11-01","Channel 12","Station 4 + 56","No treatment","Channel 12: No treatment",0,0,"Invasive",2.5
71,"2013-11-01","Channel 12","Station 4 + 56","No treatment","Channel 12: No treatment",0,0,"Native",43.9166666666667
71,"2013-11-01","Channel 12","Station 4 + 56","No treatment","Channel 12: No treatment",0,0,"Unknown native status",0.416666666666667
73,"2013-11-01","Channel 12","Station 5 + 13","No treatment","Channel 12: No treatment",0,0,"Native",50.875
73,"2013-11-01","Channel 12","Station 5 + 13","No treatment","Channel 12: No treatment",0,0,"Unknown native status",0.291666666666667
74,"2013-11-01","Channel 12","Station 5 + 48","No treatment","Channel 12: No treatment",0,0,"Native",48.4166666666667
74,"2013-11-01","Channel 12","Station 5 + 48","No treatment","Channel 12: No treatment",0,0,"Unknown native status",0.416666666666667
75,"2013-11-01","Channel 12","Station 6 + 30","No treatment","Channel 12: No treatment",0,0,"Invasive",2.5
75,"2013-11-01","Channel 12","Station 6 + 30","No treatment","Channel 12: No treatment",0,0,"Native",86.5
76,"2013-11-01","Channel 12","Station 6 + 93","No treatment","Channel 12: No treatment",0,0,"Native",84.4166666666667
76,"2013-11-01","Channel 12","Station 6 + 93","No treatment","Channel 12: No treatment",0,0,"Unknown native status",0.416666666666667
77,"2013-11-01","Channel 13","Station 1 + 11.5 BAF","Baffle","Channel 13: In-channel treatment",0,1,"Native",68.8333333333333
77,"2013-11-01","Channel 13","Station 1 + 11.5 BAF","Baffle","Channel 13: In-channel treatment",0,1,"Unknown native status",0.416666666666667
78,"2013-11-01","Channel 13","Station 1 + 38.5 ORD","One rock dam","Channel 13: In-channel treatment",0,1,"Invasive",0.416666666666667
78,"2013-11-01","Channel 13","Station 1 + 38.5 ORD","One rock dam","Channel 13: In-channel treatment",0,1,"Native",55
78,"2013-11-01","Channel 13","Station 1 + 38.5 ORD","One rock dam","Channel 13: In-channel treatment",0,1,"Unknown native status",0.0833333333333333
79,"2013-11-01","Channel 13","Station 1 + 71 BAF","Baffle","Channel 13: In-channel treatment",0,1,"Invasive",0.416666666666667
79,"2013-11-01","Channel 13","Station 1 + 71 BAF","Baffle","Channel 13: In-channel treatment",0,1,"Native",35
79,"2013-11-01","Channel 13","Station 1 + 71 BAF","Baffle","Channel 13: In-channel treatment",0,1,"Unknown native status",0.0833333333333333
80,"2013-11-01","Channel 13","Station 1 + 99 ORD","One rock dam","Channel 13: In-channel treatment",0,1,"Native",49.75
80,"2013-11-01","Channel 13","Station 1 + 99 ORD","One rock dam","Channel 13: In-channel treatment",0,1,"Unknown native status",0.5
81,"2013-11-01","Channel 13","Station 2 + 16 BAF","Baffle","Channel 13: In-channel treatment",0,1,"Native",34.8333333333333
81,"2013-11-01","Channel 13","Station 2 + 16 BAF","Baffle","Channel 13: In-channel treatment",0,1,"Unknown native status",0.666666666666667
82,"2013-11-01","Channel 13","Station 2 + 57 ORD","One rock dam","Channel 13: In-channel treatment",0,1,"Invasive",2.5
82,"2013-11-01","Channel 13","Station 2 + 57 ORD","One rock dam","Channel 13: In-channel treatment",0,1,"Native",72.1666666666667
82,"2013-11-01","Channel 13","Station 2 + 57 ORD","One rock dam","Channel 13: In-channel treatment",0,1,"Unknown native status",2.58333333333333
83,"2013-11-01","Channel 13","Station 2 + 67 BAF","Baffle","Channel 13: In-channel treatment",0,1,"Invasive",0.0833333333333333
83,"2013-11-01","Channel 13","Station 2 + 67 BAF","Baffle","Channel 13: In-channel treatment",0,1,"Native",12.4166666666667
83,"2013-11-01","Channel 13","Station 2 + 67 BAF","Baffle","Channel 13: In-channel treatment",0,1,"Unknown native status",0.416666666666667
84,"2013-11-01","Channel 13","Station 3 + 09 ORD","One rock dam","Channel 13: In-channel treatment",0,1,"Invasive",0.5
84,"2013-11-01","Channel 13","Station 3 + 09 ORD","One rock dam","Channel 13: In-channel treatment",0,1,"Native",51.0833333333333
85,"2013-11-01","Channel 13","Station 3 + 31 BAF","Baffle","Channel 13: In-channel treatment",0,1,"Invasive",0.5
85,"2013-11-01","Channel 13","Station 3 + 31 BAF","Baffle","Channel 13: In-channel treatment",0,1,"Native",82.75
85,"2013-11-01","Channel 13","Station 3 + 31 BAF","Baffle","Channel 13: In-channel treatment",0,1,"Unknown native status",0.166666666666667
86,"2013-11-01","Channel 13","Station 3 + 65 ORD","One rock dam","Channel 13: In-channel treatment",0,1,"Invasive",0.25
86,"2013-11-01","Channel 13","Station 3 + 65 ORD","One rock dam","Channel 13: In-channel treatment",0,1,"Native",50.4166666666667
86,"2013-11-01","Channel 13","Station 3 + 65 ORD","One rock dam","Channel 13: In-channel treatment",0,1,"Unknown native status",0.0833333333333333
87,"2013-11-01","Channel 13","Station 3 + 95.5 ORD","One rock dam","Channel 13: In-channel treatment",0,1,"Invasive",2.66666666666667
87,"2013-11-01","Channel 13","Station 3 + 95.5 ORD","One rock dam","Channel 13: In-channel treatment",0,1,"Native",33.6666666666667
87,"2013-11-01","Channel 13","Station 3 + 95.5 ORD","One rock dam","Channel 13: In-channel treatment",0,1,"Unknown native status",3.41666666666667
88,"2013-11-01","Channel 13","Station 4 + 14.5 BAF","Baffle","Channel 13: In-channel treatment",0,1,"Invasive",0.583333333333333
88,"2013-11-01","Channel 13","Station 4 + 14.5 BAF","Baffle","Channel 13: In-channel treatment",0,1,"Native",44.4166666666667
89,"2013-11-01","Channel 13","Station 4 + 36 ORD","One rock dam","Channel 13: In-channel treatment",0,1,"Invasive",5.41666666666667
89,"2013-11-01","Channel 13","Station 4 + 36 ORD","One rock dam","Channel 13: In-channel treatment",0,1,"Native",32.3333333333333
89,"2013-11-01","Channel 13","Station 4 + 36 ORD","One rock dam","Channel 13: In-channel treatment",0,1,"Unknown native status",0.166666666666667
90,"2013-11-01","Channel 13","Station 4 + 50 BAF","Baffle","Channel 13: In-channel treatment",0,1,"Invasive",3.08333333333333
